node_id_a	node_id_b
9606.ENSP00000353224	11250.NS1_HRSVB
11250.NS1_HRSVB	9606.ENSP00000311766
11250.NS1_HRSVB	9606.ENSP00000312066
11250.NS1_HRSVB	9606.ENSP00000278353
11250.NS1_HRSVB	9606.ENSP00000263205
11250.NS1_HRSVB	9606.ENSP00000003100
11250.NS1_HRSVB	9606.ENSP00000369127
11250.NS1_HRSVB	9606.ENSP00000359297
11250.NS1_HRSVB	9606.ENSP00000351777
11250.NS1_HRSVB	9606.ENSP00000369042
11250.NS1_HRSVB	9606.ENSP00000263390
11250.NS1_HRSVB	9606.ENSP00000360644
11250.NS1_HRSVB	9606.ENSP00000345341
11250.NS1_HRSVB	9606.ENSP00000348965
11250.NS1_HRSVB	9606.ENSP00000273130
11250.NS1_HRSVB	9606.ENSP00000358857
11250.NS1_HRSVB	9606.ENSP00000365402
11250.NS1_HRSVB	9606.ENSP00000261622
11250.NS1_HRSVB	9606.ENSP00000357360
11250.NS1_HRSVB	9606.ENSP00000332455
11250.NS1_HRSVB	9606.ENSP00000217456
11250.NS1_HRSVB	9606.ENSP00000407487
11250.NS1_HRSVB	9606.ENSP00000377686
11250.NS1_HRSVB	9606.ENSP00000355467
11250.NS1_HRSVB	9606.ENSP00000285968
11250.NS1_HRSVB	9606.ENSP00000341289
11250.NS1_HRSVB	9606.ENSP00000393292
11250.NS1_HRSVB	9606.ENSP00000227378
11250.NS1_HRSVB	9606.ENSP00000312735
11250.NS1_HRSVB	9606.ENSP00000358400
11250.NS1_HRSVB	9606.ENSP00000369411
11250.NS1_HRSVB	9606.ENSP00000216121
11250.NS1_HRSVB	9606.ENSP00000336994
11250.NS1_HRSVB	9606.ENSP00000390783
11250.NS1_HRSVB	9606.ENSP00000427123
11250.NS1_HRSVB	9606.ENSP00000306330
11250.NS1_HRSVB	9606.ENSP00000303366
11250.NS1_HRSVB	9606.ENSP00000284320
11250.NS1_HRSVB	9606.ENSP00000261890
11250.NS1_HRSVB	9606.ENSP00000392330
11250.NS1_HRSVB	9606.ENSP00000313420
11250.NS1_HRSVB	9606.ENSP00000298307
11250.NS1_HRSVB	9606.ENSP00000394863
11250.NS1_HRSVB	9606.ENSP00000310668
11250.NS1_HRSVB	9606.ENSP00000264380
11250.NS1_HRSVB	9606.ENSP00000329419
11250.NS1_HRSVB	9606.ENSP00000382269
11250.NS1_HRSVB	9606.ENSP00000216500
11250.NS1_HRSVB	9606.ENSP00000363193
11250.NS1_HRSVB	9606.ENSP00000366748
11250.NS1_HRSVB	9606.ENSP00000272167
11250.NS1_HRSVB	9606.ENSP00000392147
11250.NS1_HRSVB	9606.ENSP00000292035
11250.NS1_HRSVB	9606.ENSP00000330945
11250.NS1_HRSVB	9606.ENSP00000295598
11250.NS1_HRSVB	9606.ENSP00000256079
11250.NS1_HRSVB	9606.ENSP00000448182
11250.NS1_HRSVB	9606.ENSP00000287647
11250.NS1_HRSVB	9606.ENSP00000252785
11250.NS1_HRSVB	9606.ENSP00000262030
11250.NS1_HRSVB	9606.ENSP00000393316
11250.NS1_HRSVB	9606.ENSP00000357907
11250.NS1_HRSVB	9606.ENSP00000262646
11250.NS1_HRSVB	9606.ENSP00000258198
11250.NS1_HRSVB	9606.ENSP00000378887
11250.NS1_HRSVB	9606.ENSP00000162044
11250.NS1_HRSVB	9606.ENSP00000322439
11250.NS1_HRSVB	9606.ENSP00000358417
11250.NS1_HRSVB	9606.ENSP00000336799
11250.NS1_HRSVB	9606.ENSP00000267113
11250.NS1_HRSVB	9606.ENSP00000300161
11250.NS1_HRSVB	9606.ENSP00000418401
11250.NS1_HRSVB	9606.ENSP00000300107
11250.NS1_HRSVB	9606.ENSP00000342502
11250.NS1_HRSVB	9606.ENSP00000318480
11250.NS1_HRSVB	9606.ENSP00000350708
11250.NS1_HRSVB	9606.ENSP00000347872
11250.NS1_HRSVB	9606.ENSP00000367923
11250.NS1_HRSVB	9606.ENSP00000340019
11250.NS1_HRSVB	9606.ENSP00000337838
11250.NS1_HRSVB	9606.ENSP00000345575
11250.NS1_HRSVB	9606.ENSP00000261183
11250.NS1_HRSVB	9606.ENSP00000345774
11250.NS1_HRSVB	9606.ENSP00000358737
11250.NS1_HRSVB	9606.ENSP00000253024
11250.NS1_HRSVB	9606.ENSP00000309096
