qseqid	sseqid	ppos
11269.VP24_MABVM	10376.GB_EBVB9	53.85
11269.VP24_MABVM	9606.ENSP00000322909	44.64
11269.VP24_MABVM	9606.ENSP00000359000	51.28
11269.VP24_MABVM	9606.ENSP00000364028	35.61
9606.ENSP00000171111	9606.ENSP00000258646	43.88
9606.ENSP00000171111	9606.ENSP00000262776	43.33
9606.ENSP00000171111	9606.ENSP00000282570	42.69
9606.ENSP00000171111	9606.ENSP00000318916	59.26
9606.ENSP00000171111	9606.ENSP00000356230	54.61
9606.ENSP00000171111	9606.ENSP00000363868	65.0
9606.ENSP00000217182	9606.ENSP00000237289	50.0
9606.ENSP00000217182	9606.ENSP00000261168	45.31
9606.ENSP00000217182	9606.ENSP00000262375	50.0
9606.ENSP00000217182	9606.ENSP00000263409	38.46
9606.ENSP00000217182	9606.ENSP00000332756	55.56
9606.ENSP00000217182	9606.ENSP00000357879	40.26
9606.ENSP00000217182	9606.ENSP00000360184	60.0
9606.ENSP00000217182	9606.ENSP00000376472	62.16
9606.ENSP00000224784	9606.ENSP00000295550	50.0
9606.ENSP00000224784	9606.ENSP00000295598	41.9
9606.ENSP00000228318	9606.ENSP00000261405	39.56
9606.ENSP00000228318	9606.ENSP00000264638	47.37
9606.ENSP00000228318	9606.ENSP00000269848	66.67
9606.ENSP00000228318	9606.ENSP00000303222	58.62
9606.ENSP00000228318	9606.ENSP00000303437	60.61
9606.ENSP00000228318	9606.ENSP00000322020	40.13
9606.ENSP00000228318	9606.ENSP00000356574	43.28
9606.ENSP00000228318	9606.ENSP00000380444	45.16
9606.ENSP00000252455	9606.ENSP00000204679	43.36
9606.ENSP00000252455	9606.ENSP00000218104	57.14
9606.ENSP00000252455	9606.ENSP00000222399	72.0
9606.ENSP00000252455	9606.ENSP00000252483	48.15
9606.ENSP00000252455	9606.ENSP00000257604	51.67
9606.ENSP00000252455	9606.ENSP00000276654	50.0
9606.ENSP00000252455	9606.ENSP00000287295	41.41
9606.ENSP00000252455	9606.ENSP00000323300	59.65
9606.ENSP00000252455	9606.ENSP00000326579	41.67
9606.ENSP00000252455	9606.ENSP00000343204	60.0
9606.ENSP00000252455	9606.ENSP00000346762	54.35
9606.ENSP00000252455	9606.ENSP00000349437	42.31
9606.ENSP00000252455	9606.ENSP00000352601	50.0
9606.ENSP00000252455	9606.ENSP00000384169	47.92
9606.ENSP00000252455	9606.ENSP00000392057	47.06
9606.ENSP00000252455	9606.ENSP00000395983	45.74
9606.ENSP00000252455	9606.ENSP00000399168	36.96
9606.ENSP00000252455	9606.ENSP00000411096	55.56
9606.ENSP00000252455	9606.ENSP00000419879	53.19
9606.ENSP00000252455	9606.ENSP00000454071	53.12
9606.ENSP00000290921	9606.ENSP00000275493	40.91
9606.ENSP00000290921	9606.ENSP00000313875	63.64
9606.ENSP00000290921	9606.ENSP00000338523	73.68
9606.ENSP00000290921	9606.ENSP00000379691	45.33
9606.ENSP00000295137	9606.ENSP00000295550	50.0
9606.ENSP00000295137	9606.ENSP00000295598	41.9
9606.ENSP00000295137	9606.ENSP00000350310	41.27
9606.ENSP00000301071	10376.MTP_EBVB9	47.73
9606.ENSP00000301071	9606.ENSP00000264071	61.06
9606.ENSP00000301071	9606.ENSP00000311405	73.33
9606.ENSP00000301071	9606.ENSP00000336799	99.78
9606.ENSP00000301071	9606.ENSP00000339001	61.06
9606.ENSP00000301071	9606.ENSP00000348442	36.76
9606.ENSP00000301072	9606.ENSP00000264071	61.29
9606.ENSP00000301072	9606.ENSP00000311405	73.33
9606.ENSP00000301072	9606.ENSP00000336799	99.11
9606.ENSP00000301072	9606.ENSP00000339001	61.29
9606.ENSP00000301072	9606.ENSP00000348442	36.76
9606.ENSP00000311825	9606.ENSP00000313875	57.14
9606.ENSP00000311825	9606.ENSP00000333769	44.66
9606.ENSP00000330054	9606.ENSP00000237289	50.0
9606.ENSP00000330054	9606.ENSP00000261168	46.77
9606.ENSP00000330054	9606.ENSP00000262375	50.0
9606.ENSP00000330054	9606.ENSP00000263409	37.69
9606.ENSP00000330054	9606.ENSP00000304669	51.11
9606.ENSP00000330054	9606.ENSP00000356898	44.64
9606.ENSP00000330054	9606.ENSP00000360184	60.0
9606.ENSP00000330054	9606.ENSP00000364649	50.0
9606.ENSP00000330054	9606.ENSP00000376472	62.16
9606.ENSP00000339001	9606.ENSP00000012049	62.96
9606.ENSP00000339001	9606.ENSP00000264071	98.87
9606.ENSP00000339001	9606.ENSP00000329357	39.44
9606.ENSP00000339001	9606.ENSP00000336799	61.29
9606.ENSP00000339001	9606.ENSP00000339001	100.0
9606.ENSP00000339001	9606.ENSP00000347184	45.1
9606.ENSP00000339001	9606.ENSP00000352841	60.71
9606.ENSP00000339001	9606.ENSP00000356265	65.38
9606.ENSP00000339001	9606.ENSP00000357196	53.57
9606.ENSP00000339001	9606.ENSP00000375977	41.67
9606.ENSP00000339001	9606.ENSP00000384863	73.68
9606.ENSP00000339001	9606.ENSP00000406229	51.43
9606.ENSP00000339835	9606.ENSP00000260130	52.63
9606.ENSP00000339835	9606.ENSP00000295321	43.14
9606.ENSP00000339835	9606.ENSP00000310491	52.27
9606.ENSP00000339835	9606.ENSP00000321746	51.22
9606.ENSP00000339835	9606.ENSP00000347979	54.29
9606.ENSP00000339835	9606.ENSP00000368612	57.89
9606.ENSP00000350052	9606.ENSP00000256646	43.09
9606.ENSP00000350052	9606.ENSP00000261739	51.92
9606.ENSP00000350052	9606.ENSP00000263388	47.4
9606.ENSP00000350052	9606.ENSP00000280772	52.38
9606.ENSP00000350052	9606.ENSP00000285243	46.15
9606.ENSP00000350052	9606.ENSP00000295321	45.79
9606.ENSP00000350052	9606.ENSP00000295598	43.18
9606.ENSP00000350052	9606.ENSP00000342222	38.16
9606.ENSP00000350052	9606.ENSP00000345206	52.94
9606.ENSP00000350052	9606.ENSP00000395650	53.85
9606.ENSP00000350052	9606.ENSP00000399259	50.0
9606.ENSP00000350052	9606.ENSP00000403397	54.24
9606.ENSP00000350052	9606.ENSP00000417980	52.03
9606.ENSP00000350275	9606.ENSP00000310491	49.02
9606.ENSP00000350275	9606.ENSP00000312042	66.67
9606.ENSP00000350275	9606.ENSP00000321746	45.45
9606.ENSP00000350275	9606.ENSP00000328023	44.74
9606.ENSP00000350275	9606.ENSP00000346560	55.56
9606.ENSP00000350275	9606.ENSP00000366404	52.08
9606.ENSP00000352980	9606.ENSP00000262803	75.0
9606.ENSP00000352980	9606.ENSP00000280326	51.72
9606.ENSP00000352980	9606.ENSP00000280772	50.85
9606.ENSP00000352980	9606.ENSP00000312506	48.15
9606.ENSP00000352980	9606.ENSP00000353094	76.47
9606.ENSP00000352980	9606.ENSP00000399982	60.0
9606.ENSP00000355657	9606.ENSP00000312042	51.11
9606.ENSP00000355657	9606.ENSP00000328023	42.11
9606.ENSP00000355657	9606.ENSP00000366404	54.17
9606.ENSP00000355657	9606.ENSP00000411096	92.31
9606.ENSP00000355778	9606.ENSP00000310491	49.02
9606.ENSP00000355778	9606.ENSP00000312042	73.68
9606.ENSP00000355778	9606.ENSP00000321746	45.45
9606.ENSP00000355778	9606.ENSP00000328023	44.74
9606.ENSP00000385479	9606.ENSP00000310491	49.02
9606.ENSP00000385479	9606.ENSP00000312042	66.67
9606.ENSP00000385479	9606.ENSP00000321746	45.45
9606.ENSP00000385479	9606.ENSP00000328023	44.74
9606.ENSP00000385479	9606.ENSP00000346560	54.72
9606.ENSP00000385479	9606.ENSP00000366404	52.08
9606.ENSP00000387176	9606.ENSP00000252512	60.0
