qseqid	sseqid	pident
351073.MU2_REOVL	36427.NSP1_ROTHC	38.889
351073.MU2_REOVL	9606.ENSP00000264414	45.161
351073.MU2_REOVL	9606.ENSP00000265094	42.308
351073.MU2_REOVL	9606.ENSP00000303373	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000321389	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000328484	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000332194	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000341094	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000352119	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000355656	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000358158	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000366679	26.666999999999998
351073.MU2_REOVL	9606.ENSP00000373730	26.666999999999998
351073.SIGM3_REOVL	9606.ENSP00000265094	29.166999999999998
9606.ENSP00000228251	9606.ENSP00000247207	42.105
9606.ENSP00000252050	9606.ENSP00000247207	35.135
9606.ENSP00000252050	9606.ENSP00000262306	28.736
9606.ENSP00000252050	9606.ENSP00000264414	25.18
9606.ENSP00000252050	9606.ENSP00000303373	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000321389	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000328484	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000332194	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000341094	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000352119	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000355656	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000358158	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000364802	47.368
9606.ENSP00000252050	9606.ENSP00000366679	30.769000000000002
9606.ENSP00000252050	9606.ENSP00000373730	30.769000000000002
9606.ENSP00000270625	9606.ENSP00000262306	41.667
9606.ENSP00000275603	9606.ENSP00000364805	22.807
9606.ENSP00000280326	9606.ENSP00000247207	35.135
9606.ENSP00000280326	9606.ENSP00000264414	27.083000000000002
9606.ENSP00000280326	9606.ENSP00000310219	24.138
9606.ENSP00000280326	9606.ENSP00000352980	41.379
9606.ENSP00000280326	9606.ENSP00000364802	33.333
9606.ENSP00000280326	9606.ENSP00000364805	33.333
9606.ENSP00000280326	9606.ENSP00000431822	43.478
9606.ENSP00000281456	36427.NSP1_ROTHC	24.324
9606.ENSP00000281456	9606.ENSP00000264414	24.241999999999997
9606.ENSP00000281456	9606.ENSP00000303373	33.333
9606.ENSP00000281456	9606.ENSP00000341094	33.333
9606.ENSP00000295688	36427.NSP1_ROTHC	37.838
9606.ENSP00000295688	9606.ENSP00000247207	33.333
9606.ENSP00000295688	9606.ENSP00000310219	34.043
9606.ENSP00000295688	9606.ENSP00000364802	34.043
9606.ENSP00000295688	9606.ENSP00000364805	36.17
9606.ENSP00000301071	9606.ENSP00000247207	35.294000000000004
9606.ENSP00000301072	9606.ENSP00000247207	35.294000000000004
9606.ENSP00000305790	9606.ENSP00000265094	36.364000000000004
9606.ENSP00000305790	9606.ENSP00000310219	43.478
9606.ENSP00000305790	9606.ENSP00000364802	39.13
9606.ENSP00000305790	9606.ENSP00000364805	39.13
9606.ENSP00000310670	9606.ENSP00000247207	36.364000000000004
9606.ENSP00000313007	36427.NSP1_ROTHC	36.842
9606.ENSP00000313007	9606.ENSP00000247207	24.675
9606.ENSP00000313007	9606.ENSP00000264414	28.570999999999998
9606.ENSP00000313007	9606.ENSP00000310219	23.913
9606.ENSP00000313007	9606.ENSP00000364805	21.212
9606.ENSP00000318861	36427.NSP1_ROTHC	17.647000000000002
9606.ENSP00000318861	9606.ENSP00000247207	35.0
9606.ENSP00000318861	9606.ENSP00000265094	29.63
9606.ENSP00000318861	9606.ENSP00000364805	29.688000000000002
9606.ENSP00000325136	36427.NSP1_ROTHC	21.839000000000002
9606.ENSP00000325136	9606.ENSP00000247207	23.656
9606.ENSP00000325136	9606.ENSP00000265094	40.0
9606.ENSP00000325136	9606.ENSP00000310219	34.483000000000004
9606.ENSP00000325136	9606.ENSP00000364802	34.483000000000004
