qseqid	sseqid	bitscore
351073.MU2_REOVL	9606.ENSP00000215739	23.9
351073.MU2_REOVL	9606.ENSP00000233627	25.8
351073.MU2_REOVL	9606.ENSP00000262375	23.9
351073.MU2_REOVL	9606.ENSP00000333633	23.9
351073.MU2_REOVL	9606.ENSP00000348838	24.3
351073.MU2_REOVL	9606.ENSP00000363807	29.6
351073.SIGM3_REOVL	9606.ENSP00000262854	22.7
351073.SIGM3_REOVL	9606.ENSP00000309561	23.1
351073.SIGM3_REOVL	9606.ENSP00000313420	23.9
351073.SIGM3_REOVL	9606.ENSP00000324804	26.9
351073.SIGM3_REOVL	9606.ENSP00000377954	23.5
9606.ENSP00000228251	9606.ENSP00000251527	22.7
9606.ENSP00000228251	9606.ENSP00000341382	31.2
9606.ENSP00000228251	9606.ENSP00000361626	187.0
9606.ENSP00000228251	9606.ENSP00000378917	26.9
9606.ENSP00000252050	9606.ENSP00000217971	28.9
9606.ENSP00000252050	9606.ENSP00000251642	26.6
9606.ENSP00000252050	9606.ENSP00000262854	26.2
9606.ENSP00000252050	9606.ENSP00000275732	25.8
9606.ENSP00000252050	9606.ENSP00000296255	26.2
9606.ENSP00000252050	9606.ENSP00000304437	26.2
9606.ENSP00000252050	9606.ENSP00000351777	26.9
9606.ENSP00000252050	9606.ENSP00000355541	26.2
9606.ENSP00000252050	9606.ENSP00000357863	26.9
9606.ENSP00000252050	9606.ENSP00000361202	28.1
9606.ENSP00000270625	9606.ENSP00000246957	21.6
9606.ENSP00000270625	9606.ENSP00000262375	22.3
9606.ENSP00000270625	9606.ENSP00000284320	22.7
9606.ENSP00000270625	9606.ENSP00000292644	23.1
9606.ENSP00000270625	9606.ENSP00000355890	22.7
9606.ENSP00000270625	9606.ENSP00000375977	22.3
9606.ENSP00000270625	9606.ENSP00000441875	22.7
9606.ENSP00000275603	9606.ENSP00000258091	233.0
9606.ENSP00000275603	9606.ENSP00000275603	1082.0
9606.ENSP00000275603	9606.ENSP00000280326	239.0
9606.ENSP00000275603	9606.ENSP00000290299	23.5
9606.ENSP00000275603	9606.ENSP00000295688	261.0
9606.ENSP00000275603	9606.ENSP00000299300	193.0
9606.ENSP00000275603	9606.ENSP00000300648	25.0
9606.ENSP00000275603	9606.ENSP00000304437	26.2
9606.ENSP00000275603	9606.ENSP00000317334	236.0
9606.ENSP00000275603	9606.ENSP00000319756	25.4
9606.ENSP00000275603	9606.ENSP00000358417	23.5
9606.ENSP00000275603	9606.ENSP00000362946	23.1
9606.ENSP00000275603	9606.ENSP00000377617	25.8
9606.ENSP00000275603	9606.ENSP00000377958	228.0
9606.ENSP00000275603	9606.ENSP00000429931	23.1
9606.ENSP00000280326	9606.ENSP00000245907	24.6
9606.ENSP00000280326	9606.ENSP00000258091	255.0
9606.ENSP00000280326	9606.ENSP00000266732	27.7
9606.ENSP00000280326	9606.ENSP00000275603	239.0
9606.ENSP00000280326	9606.ENSP00000280326	1109.0
9606.ENSP00000280326	9606.ENSP00000295688	300.0
9606.ENSP00000280326	9606.ENSP00000299300	254.0
9606.ENSP00000280326	9606.ENSP00000317334	260.0
9606.ENSP00000280326	9606.ENSP00000377958	351.0
9606.ENSP00000281456	9606.ENSP00000215739	23.5
9606.ENSP00000281456	9606.ENSP00000215882	75.9
9606.ENSP00000281456	9606.ENSP00000225665	57.0
9606.ENSP00000281456	9606.ENSP00000228318	49.3
9606.ENSP00000281456	9606.ENSP00000281456	610.0
9606.ENSP00000281456	9606.ENSP00000306328	71.2
9606.ENSP00000281456	9606.ENSP00000319574	90.9
9606.ENSP00000281456	9606.ENSP00000322020	90.9
9606.ENSP00000281456	9606.ENSP00000329033	101.0
9606.ENSP00000281456	9606.ENSP00000329452	89.0
9606.ENSP00000281456	9606.ENSP00000345580	57.8
9606.ENSP00000281456	9606.ENSP00000347717	22.3
9606.ENSP00000281456	9606.ENSP00000360671	556.0
9606.ENSP00000281456	9606.ENSP00000370808	555.0
9606.ENSP00000281456	9606.ENSP00000376758	22.3
9606.ENSP00000281456	9606.ENSP00000388658	113.0
9606.ENSP00000281456	9606.ENSP00000400101	108.0
9606.ENSP00000295688	9606.ENSP00000258091	288.0
9606.ENSP00000295688	9606.ENSP00000261942	24.6
9606.ENSP00000295688	9606.ENSP00000275603	261.0
9606.ENSP00000295688	9606.ENSP00000280326	300.0
9606.ENSP00000295688	9606.ENSP00000295688	1120.0
9606.ENSP00000295688	9606.ENSP00000299300	217.0
9606.ENSP00000295688	9606.ENSP00000300107	25.4
9606.ENSP00000295688	9606.ENSP00000301764	26.2
9606.ENSP00000295688	9606.ENSP00000317334	285.0
9606.ENSP00000295688	9606.ENSP00000361845	23.5
9606.ENSP00000295688	9606.ENSP00000364805	25.4
9606.ENSP00000295688	9606.ENSP00000369042	27.3
9606.ENSP00000295688	9606.ENSP00000377958	302.0
9606.ENSP00000295688	9606.ENSP00000378857	23.9
9606.ENSP00000295688	9606.ENSP00000393241	28.9
9606.ENSP00000301071	9606.ENSP00000259818	355.0
9606.ENSP00000301071	9606.ENSP00000264071	356.0
9606.ENSP00000301071	9606.ENSP00000301071	944.0
9606.ENSP00000301071	9606.ENSP00000301072	926.0
9606.ENSP00000301071	9606.ENSP00000318697	358.0
9606.ENSP00000301071	9606.ENSP00000336799	941.0
9606.ENSP00000301071	9606.ENSP00000339001	360.0
9606.ENSP00000301071	9606.ENSP00000341289	357.0
9606.ENSP00000301071	9606.ENSP00000369703	357.0
9606.ENSP00000301071	9606.ENSP00000378917	23.9
9606.ENSP00000301071	9606.ENSP00000444408	23.9
9606.ENSP00000301071	9606.ENSP00000451560	341.0
9606.ENSP00000301072	9606.ENSP00000259818	357.0
9606.ENSP00000301072	9606.ENSP00000264071	359.0
9606.ENSP00000301072	9606.ENSP00000264161	23.5
9606.ENSP00000301072	9606.ENSP00000301071	926.0
9606.ENSP00000301072	9606.ENSP00000301072	941.0
9606.ENSP00000301072	9606.ENSP00000318697	360.0
9606.ENSP00000301072	9606.ENSP00000336799	927.0
9606.ENSP00000301072	9606.ENSP00000339001	363.0
9606.ENSP00000301072	9606.ENSP00000341289	359.0
9606.ENSP00000301072	9606.ENSP00000349508	23.5
9606.ENSP00000301072	9606.ENSP00000369703	359.0
9606.ENSP00000301072	9606.ENSP00000378917	24.3
9606.ENSP00000301072	9606.ENSP00000444408	23.9
9606.ENSP00000301072	9606.ENSP00000451560	344.0
9606.ENSP00000305790	9606.ENSP00000301764	211.0
9606.ENSP00000305790	9606.ENSP00000305790	2524.0
9606.ENSP00000305790	9606.ENSP00000358283	25.4
9606.ENSP00000305790	9606.ENSP00000376472	25.0
9606.ENSP00000310670	9606.ENSP00000291295	28.5
9606.ENSP00000310670	9606.ENSP00000349467	28.5
9606.ENSP00000310670	9606.ENSP00000354125	29.6
9606.ENSP00000310670	9606.ENSP00000378917	24.3
9606.ENSP00000310670	9606.ENSP00000380557	24.6
9606.ENSP00000311747	9606.ENSP00000269143	23.9
9606.ENSP00000311747	9606.ENSP00000285968	23.9
9606.ENSP00000311747	9606.ENSP00000295470	44.7
9606.ENSP00000311747	9606.ENSP00000313007	70.1
9606.ENSP00000311747	9606.ENSP00000313199	40.8
9606.ENSP00000311747	9606.ENSP00000318195	39.3
9606.ENSP00000311747	9606.ENSP00000319690	50.4
9606.ENSP00000311747	9606.ENSP00000332455	25.4
9606.ENSP00000311747	9606.ENSP00000353089	39.3
9606.ENSP00000311747	9606.ENSP00000364847	28.1
9606.ENSP00000311747	9606.ENSP00000421592	40.0
9606.ENSP00000313007	9606.ENSP00000233468	44.3
9606.ENSP00000313007	9606.ENSP00000259335	24.3
9606.ENSP00000313007	9606.ENSP00000286371	27.3
9606.ENSP00000313007	9606.ENSP00000295470	65.1
9606.ENSP00000313007	9606.ENSP00000313007	1320.0
9606.ENSP00000313007	9606.ENSP00000313199	62.4
9606.ENSP00000313007	9606.ENSP00000318195	99.0
9606.ENSP00000313007	9606.ENSP00000319690	33.9
9606.ENSP00000313007	9606.ENSP00000325376	64.7
9606.ENSP00000313007	9606.ENSP00000341382	29.3
9606.ENSP00000313007	9606.ENSP00000349168	25.0
9606.ENSP00000313007	9606.ENSP00000353089	46.2
9606.ENSP00000313007	9606.ENSP00000354125	37.0
9606.ENSP00000313007	9606.ENSP00000359818	24.3
9606.ENSP00000313007	9606.ENSP00000364794	24.3
9606.ENSP00000313007	9606.ENSP00000369592	24.6
9606.ENSP00000313007	9606.ENSP00000391774	33.5
9606.ENSP00000313007	9606.ENSP00000421592	47.0
9606.ENSP00000318861	9606.ENSP00000261183	27.3
9606.ENSP00000318861	9606.ENSP00000264028	25.8
9606.ENSP00000318861	9606.ENSP00000265351	24.6
9606.ENSP00000318861	9606.ENSP00000284320	28.9
9606.ENSP00000318861	9606.ENSP00000349508	26.6
9606.ENSP00000325136	9606.ENSP00000321584	23.5
9606.ENSP00000325136	9606.ENSP00000325136	980.0
9606.ENSP00000325136	9606.ENSP00000366800	23.1
9606.ENSP00000330054	9606.ENSP00000257604	23.1
9606.ENSP00000330054	9606.ENSP00000261183	23.5
9606.ENSP00000330054	9606.ENSP00000262375	24.6
9606.ENSP00000330054	9606.ENSP00000307940	51.6
9606.ENSP00000330054	9606.ENSP00000322439	166.0
9606.ENSP00000330054	9606.ENSP00000330054	950.0
9606.ENSP00000330054	9606.ENSP00000354125	25.8
9606.ENSP00000330054	9606.ENSP00000376472	24.6
9606.ENSP00000330054	9606.ENSP00000418401	25.4
9606.ENSP00000336721	9606.ENSP00000245838	24.6
9606.ENSP00000336721	9606.ENSP00000266732	24.3
9606.ENSP00000336721	9606.ENSP00000275732	26.6
9606.ENSP00000339001	9606.ENSP00000206542	23.1
9606.ENSP00000339001	9606.ENSP00000217971	22.7
9606.ENSP00000339001	9606.ENSP00000259818	862.0
9606.ENSP00000339001	9606.ENSP00000264071	903.0
9606.ENSP00000339001	9606.ENSP00000301071	364.0
9606.ENSP00000339001	9606.ENSP00000301072	369.0
9606.ENSP00000339001	9606.ENSP00000301764	24.6
