qseqid	sseqid	ppos
194441.ENV_HTLV2	9606.ENSP00000217426	76.92
194441.ENV_HTLV2	9606.ENSP00000337804	47.06
194441.ENV_HTLV2	9606.ENSP00000347329	60.0
194441.REX_HTLV2	9606.ENSP00000272322	57.14
194441.REX_HTLV2	9606.ENSP00000317985	34.88
194441.TAX_HTLV2	9606.ENSP00000284694	39.47
194441.TAX_HTLV2	9606.ENSP00000379475	50.0
9606.ENSP00000204566	9606.ENSP00000280326	36.55
9606.ENSP00000204566	9606.ENSP00000284694	53.57
9606.ENSP00000221996	9606.ENSP00000216181	46.67
9606.ENSP00000221996	9606.ENSP00000225792	52.94
9606.ENSP00000221996	9606.ENSP00000301072	38.1
9606.ENSP00000221996	9606.ENSP00000301522	46.15
9606.ENSP00000221996	9606.ENSP00000316357	64.29
9606.ENSP00000221996	9606.ENSP00000317985	58.33
9606.ENSP00000221996	9606.ENSP00000354346	37.21
9606.ENSP00000221996	9606.ENSP00000375863	35.29
9606.ENSP00000221996	9606.ENSP00000424838	53.66
9606.ENSP00000238156	9606.ENSP00000240851	66.67
9606.ENSP00000238156	9606.ENSP00000249923	68.18
9606.ENSP00000238156	9606.ENSP00000253792	43.33
9606.ENSP00000238156	9606.ENSP00000307078	68.57
9606.ENSP00000238156	9606.ENSP00000317985	61.54
9606.ENSP00000238156	9606.ENSP00000322542	61.29
9606.ENSP00000238156	9606.ENSP00000337804	50.0
9606.ENSP00000238156	9606.ENSP00000349168	38.1
9606.ENSP00000238156	9606.ENSP00000361927	38.1
9606.ENSP00000240343	9606.ENSP00000216181	56.41
9606.ENSP00000240343	9606.ENSP00000217182	51.43
9606.ENSP00000240343	9606.ENSP00000299767	55.0
9606.ENSP00000240343	9606.ENSP00000316357	75.0
9606.ENSP00000240343	9606.ENSP00000337804	41.18
9606.ENSP00000240343	9606.ENSP00000369654	62.5
9606.ENSP00000242248	9606.ENSP00000253024	44.78
9606.ENSP00000242248	9606.ENSP00000304592	48.28
9606.ENSP00000242248	9606.ENSP00000322542	44.83
9606.ENSP00000242248	9606.ENSP00000328410	42.73
9606.ENSP00000248879	9606.ENSP00000295688	50.0
9606.ENSP00000248879	9606.ENSP00000316357	56.52
9606.ENSP00000248879	9606.ENSP00000322542	80.0
9606.ENSP00000248879	9606.ENSP00000343966	43.38
9606.ENSP00000248879	9606.ENSP00000360645	60.0
9606.ENSP00000250113	9606.ENSP00000272322	43.48
9606.ENSP00000250113	9606.ENSP00000314030	46.58
9606.ENSP00000250113	9606.ENSP00000325875	56.52
9606.ENSP00000250113	9606.ENSP00000347329	37.27
9606.ENSP00000254043	9606.ENSP00000216181	52.31
9606.ENSP00000254043	9606.ENSP00000253024	69.57
9606.ENSP00000254043	9606.ENSP00000253792	37.5
9606.ENSP00000254043	9606.ENSP00000307078	54.0
9606.ENSP00000254043	9606.ENSP00000314949	56.86
9606.ENSP00000256495	9606.ENSP00000314949	48.57
9606.ENSP00000264018	9606.ENSP00000225792	52.8
9606.ENSP00000264018	9606.ENSP00000262375	52.94
9606.ENSP00000264018	9606.ENSP00000301071	52.0
9606.ENSP00000264018	9606.ENSP00000301072	52.0
9606.ENSP00000264018	9606.ENSP00000314949	57.58
9606.ENSP00000264018	9606.ENSP00000336725	52.16
9606.ENSP00000264018	9606.ENSP00000354346	46.48
9606.ENSP00000264018	9606.ENSP00000379475	56.59
9606.ENSP00000264018	9606.ENSP00000380033	51.71
9606.ENSP00000264018	9606.ENSP00000382840	52.16
9606.ENSP00000264018	9606.ENSP00000424838	53.06
9606.ENSP00000264982	9606.ENSP00000216181	54.39
9606.ENSP00000264982	9606.ENSP00000314949	45.71
9606.ENSP00000264982	9606.ENSP00000317985	53.85
