qseqid	sseqid	bitscore
11676.NEF_HV1H2	10359.PP65_HCMVM	22.3
11676.NEF_HV1H2	9606.ENSP00000301071	22.3
11676.NEF_HV1H2	9606.ENSP00000301072	22.3
11676.NEF_HV1H2	9606.ENSP00000347733	20.0
11676.NEF_HV1H2	9606.ENSP00000362824	20.0
11676.NEF_HV1H2	9606.ENSP00000429084	21.6
11676.PRO_0000239240	10359.UL42_HCMVM	25.8
11676.PRO_0000239240	9606.ENSP00000227752	23.5
11676.PRO_0000239240	9606.ENSP00000362824	22.3
11676.REV_HV1H2	10359.PP65_HCMVM	19.6
11676.REV_HV1H2	10359.VIE1_HCMVM	19.2
11676.REV_HV1H2	10359.VIE2_HCMVM	19.6
11676.REV_HV1H2	9606.ENSP00000267163	21.2
11676.REV_HV1H2	9606.ENSP00000346453	21.6
11676.REV_HV1H2	9606.ENSP00000347733	20.0
11676.REV_HV1H2	9606.ENSP00000423673	18.9
11676.TAT_HV1H2	9606.ENSP00000347733	19.6
11676.TAT_HV1H2	9606.ENSP00000368459	20.0
11676.VIF_HV1H2	9606.ENSP00000267163	21.6
11676.VIF_HV1H2	9606.ENSP00000374212	23.5
11676.VIF_HV1H2	9606.ENSP00000429084	20.8
11676.VPR_HV1H2	10359.ICP27_HCMVM	19.6
11676.VPR_HV1H2	9606.ENSP00000268058	19.6
11676.VPR_HV1H2	9606.ENSP00000348349	21.6
11676.VPR_HV1H2	9606.ENSP00000371341	20.4
11676.VPR_HV1H2	9606.ENSP00000429084	19.6
11676.VPR_HV1H2	9606.ENSP00000434614	18.9
11676.VPU_HV1H2	9606.ENSP00000266000	18.5
11676.VPU_HV1H2	9606.ENSP00000290349	18.5
11676.VPU_HV1H2	9606.ENSP00000305480	18.5
11676.VPU_HV1H2	9606.ENSP00000348349	18.5
11676.VPU_HV1H2	9606.ENSP00000368030	19.6
11676.VPU_HV1H2	9606.ENSP00000393183	18.5
11676.VPU_HV1H2	9606.ENSP00000401802	19.2
9606.ENSP00000011653	10359.PP65_HCMVM	22.3
9606.ENSP00000011653	9606.ENSP00000228284	21.6
9606.ENSP00000011653	9606.ENSP00000231524	25.4
9606.ENSP00000011653	9606.ENSP00000368459	25.0
9606.ENSP00000013807	10359.VICA_HCMVM	20.8
9606.ENSP00000013807	10359.VIE1_HCMVM	24.3
9606.ENSP00000013807	9606.ENSP00000276297	23.9
9606.ENSP00000013807	9606.ENSP00000343535	21.2
9606.ENSP00000013807	9606.ENSP00000369538	23.1
9606.ENSP00000044462	9606.ENSP00000216455	107.0
9606.ENSP00000044462	9606.ENSP00000270586	32.0
9606.ENSP00000044462	9606.ENSP00000345216	20.8
9606.ENSP00000044462	9606.ENSP00000348349	21.9
9606.ENSP00000044462	9606.ENSP00000361927	21.6
9606.ENSP00000044462	9606.ENSP00000374212	28.1
9606.ENSP00000055077	9606.ENSP00000157812	23.5
9606.ENSP00000055077	9606.ENSP00000227752	21.2
