qseqid	sseqid	ppos
129951.CAP9_ADE02	9606.ENSP00000166345	46.81
129951.CAP9_ADE02	9606.ENSP00000216500	50.0
129951.CAP9_ADE02	9606.ENSP00000262215	51.06
129951.CAP9_ADE02	9606.ENSP00000262554	52.63
129951.CAP9_ADE02	9606.ENSP00000300648	56.0
129951.CAP9_ADE02	9606.ENSP00000323300	64.0
129951.CAP9_ADE02	9606.ENSP00000323421	70.0
129951.CAP9_ADE02	9606.ENSP00000382269	40.38
129951.CAPSH_ADE02	9606.ENSP00000262215	46.38
129951.CAPSH_ADE02	9606.ENSP00000300648	47.92
129951.CAPSH_ADE02	9606.ENSP00000351777	77.78
129951.CAPSH_ADE02	9606.ENSP00000357047	63.33
129951.CAPSH_ADE02	9606.ENSP00000369213	66.67
129951.CAPSH_ADE02	9606.ENSP00000376472	41.38
129951.CAPSH_ADE02	9606.ENSP00000380888	43.96
129951.CORE5_ADE02	9606.ENSP00000343741	47.06
129951.CORE5_ADE02	9606.ENSP00000348965	65.0
129951.DNB2_ADE02	9606.ENSP00000281928	59.09
129951.DNB2_ADE02	9606.ENSP00000323300	48.98
129951.DNB2_ADE02	9606.ENSP00000358716	48.48
129951.DNB2_ADE02	9606.ENSP00000368030	50.0
129951.DNB2_ADE02	9606.ENSP00000377686	42.86
129951.DNB2_ADE02	9606.ENSP00000380557	38.62
129951.DPOL_ADE02	9606.ENSP00000251871	55.56
129951.DPOL_ADE02	9606.ENSP00000290299	57.14
129951.DPOL_ADE02	9606.ENSP00000345156	51.06
129951.DPOL_ADE02	9606.ENSP00000355607	40.16
129951.E1A_ADE02	9606.ENSP00000262215	38.6
129951.E1A_ADE02	9606.ENSP00000281928	56.41
129951.E1A_ADE02	9606.ENSP00000360985	36.36
129951.E1A_ADE02	9606.ENSP00000416097	52.17
129951.E1B55_ADE02	9606.ENSP00000258198	45.45
129951.E1B55_ADE02	9606.ENSP00000263390	43.59
129951.E1B55_ADE02	9606.ENSP00000273130	45.45
129951.E1B55_ADE02	9606.ENSP00000285968	40.59
129951.E1B55_ADE02	9606.ENSP00000305653	66.67
129951.E1B55_ADE02	9606.ENSP00000310668	41.67
129951.E1B55_ADE02	9606.ENSP00000323720	47.62
129951.E1B55_ADE02	9606.ENSP00000348965	42.11
129951.E1B55_ADE02	9606.ENSP00000360683	45.76
129951.E1BS_ADE02	9606.ENSP00000309096	83.33
129951.E1BS_ADE02	9606.ENSP00000337838	52.5
129951.E1BS_ADE02	9606.ENSP00000349456	52.0
129951.E1BS_ADE02	9606.ENSP00000381237	53.66
129951.E3GL_ADE02	9606.ENSP00000312066	43.33
129951.E3GL_ADE02	9606.ENSP00000323300	52.63
129951.E3GL_ADE02	9606.ENSP00000355541	70.59
129951.E3GL_ADE02	9606.ENSP00000373713	43.59
129951.E4RF3_ADE02	9606.ENSP00000300161	56.25
129951.E4RF3_ADE02	9606.ENSP00000311766	55.0
129951.E4RF3_ADE02	9606.ENSP00000330945	42.5
129951.E4RF3_ADE02	9606.ENSP00000337838	65.0
129951.E4RF3_ADE02	9606.ENSP00000347719	70.59
129951.E4RF3_ADE02	9606.ENSP00000348965	77.78
129951.E4RF3_ADE02	9606.ENSP00000358400	81.82
129951.NP_ADE02	9606.ENSP00000296255	40.0
129951.NP_ADE02	9606.ENSP00000342502	60.71
129951.NP_ADE02	9606.ENSP00000348965	40.68
129951.SHUT_ADE02	9606.ENSP00000235090	52.94
129951.SHUT_ADE02	9606.ENSP00000261183	54.55
129951.SHUT_ADE02	9606.ENSP00000262215	51.85
129951.SHUT_ADE02	9606.ENSP00000290663	56.41
129951.SHUT_ADE02	9606.ENSP00000309198	51.61
