qseqid	sseqid	ppos
36427.NSP1_ROTHC	9606.ENSP00000290921	55.17
36427.NSP1_ROTHC	9606.ENSP00000311825	57.69
36427.NSP1_ROTHC	9606.ENSP00000350052	46.3
36427.NSP1_ROTHC	9606.ENSP00000439189	63.33
9606.ENSP00000247207	9606.ENSP00000301071	45.24
9606.ENSP00000247207	9606.ENSP00000350275	52.94
9606.ENSP00000262306	9606.ENSP00000224784	50.0
9606.ENSP00000262306	9606.ENSP00000295137	50.0
9606.ENSP00000262306	9606.ENSP00000311825	37.29
9606.ENSP00000262306	9606.ENSP00000350052	53.57
9606.ENSP00000262306	9606.ENSP00000387176	53.57
9606.ENSP00000262306	9606.ENSP00000392718	53.57
9606.ENSP00000262306	9606.ENSP00000439189	53.57
9606.ENSP00000264414	9606.ENSP00000171111	41.82
9606.ENSP00000264414	9606.ENSP00000311825	38.17
9606.ENSP00000264414	9606.ENSP00000350052	43.75
9606.ENSP00000264414	9606.ENSP00000387176	43.75
9606.ENSP00000264414	9606.ENSP00000392718	43.75
9606.ENSP00000264414	9606.ENSP00000439189	40.3
9606.ENSP00000265094	9606.ENSP00000217182	47.62
9606.ENSP00000265094	9606.ENSP00000224784	50.0
9606.ENSP00000265094	9606.ENSP00000290921	42.37
9606.ENSP00000265094	9606.ENSP00000295137	50.0
9606.ENSP00000265094	9606.ENSP00000350052	48.21
9606.ENSP00000265094	9606.ENSP00000387176	51.28
9606.ENSP00000265094	9606.ENSP00000392718	42.25
9606.ENSP00000265094	9606.ENSP00000439189	48.21
9606.ENSP00000303373	9606.ENSP00000224784	50.0
9606.ENSP00000303373	9606.ENSP00000295137	50.0
9606.ENSP00000303373	9606.ENSP00000339835	55.56
9606.ENSP00000303373	9606.ENSP00000350275	43.94
9606.ENSP00000303373	9606.ENSP00000355657	42.42
9606.ENSP00000303373	9606.ENSP00000355778	73.33
9606.ENSP00000303373	9606.ENSP00000385479	43.94
9606.ENSP00000321389	9606.ENSP00000224784	50.0
9606.ENSP00000321389	9606.ENSP00000295137	50.0
9606.ENSP00000321389	9606.ENSP00000339835	55.56
9606.ENSP00000321389	9606.ENSP00000350275	42.55
9606.ENSP00000321389	9606.ENSP00000355657	40.91
9606.ENSP00000321389	9606.ENSP00000355778	73.33
9606.ENSP00000321389	9606.ENSP00000385479	42.55
9606.ENSP00000328484	9606.ENSP00000224784	50.0
9606.ENSP00000328484	9606.ENSP00000295137	50.0
9606.ENSP00000328484	9606.ENSP00000339835	55.56
9606.ENSP00000328484	9606.ENSP00000350275	42.55
9606.ENSP00000328484	9606.ENSP00000355657	40.43
9606.ENSP00000328484	9606.ENSP00000355778	73.33
9606.ENSP00000328484	9606.ENSP00000385479	42.55
9606.ENSP00000332194	9606.ENSP00000224784	50.0
9606.ENSP00000332194	9606.ENSP00000295137	50.0
9606.ENSP00000332194	9606.ENSP00000339835	55.56
9606.ENSP00000332194	9606.ENSP00000350275	42.55
9606.ENSP00000332194	9606.ENSP00000355657	73.33
9606.ENSP00000332194	9606.ENSP00000355778	51.85
