qseqid	sseqid	pident
10633.LT_SV40	9606.ENSP00000215587	20.721
10633.LT_SV40	9606.ENSP00000301764	28.261
10633.LT_SV40	9606.ENSP00000325875	31.429000000000002
10633.LT_SV40	9606.ENSP00000354526	41.667
10633.ST_SV40	9606.ENSP00000255977	21.311
10633.ST_SV40	9606.ENSP00000325875	31.429000000000002
10633.ST_SV40	9606.ENSP00000338018	50.0
10633.ST_SV40	9606.ENSP00000354526	28.0
10633.VP1_SV40	9606.ENSP00000338018	32.5
10633.VP1_SV40	9606.ENSP00000363676	40.0
10633.VP1_SV40	9606.ENSP00000417281	22.535
10633.VP1_SV40	9606.ENSP00000419692	22.726999999999997
9606.ENSP00000217244	9606.ENSP00000255977	38.461999999999996
9606.ENSP00000217244	9606.ENSP00000270202	24.595
9606.ENSP00000217244	9606.ENSP00000301764	28.0
9606.ENSP00000217244	9606.ENSP00000325875	28.125
9606.ENSP00000217244	9606.ENSP00000349156	23.214000000000002
9606.ENSP00000217244	9606.ENSP00000419692	45.833
9606.ENSP00000221996	10407.X_HBVCJ	25.581
9606.ENSP00000221996	9606.ENSP00000270202	23.188000000000002
9606.ENSP00000221996	9606.ENSP00000301764	34.783
9606.ENSP00000221996	9606.ENSP00000354526	35.294000000000004
9606.ENSP00000221996	9606.ENSP00000419692	40.0
9606.ENSP00000230354	10407.DPOL_HBVCJ	66.667
9606.ENSP00000230354	9606.ENSP00000215587	30.0
9606.ENSP00000230354	9606.ENSP00000325875	50.0
9606.ENSP00000230354	9606.ENSP00000419692	25.862
9606.ENSP00000263253	9606.ENSP00000301727	30.645
9606.ENSP00000263253	9606.ENSP00000325875	50.0
9606.ENSP00000263253	9606.ENSP00000338018	25.555999999999997
9606.ENSP00000263253	9606.ENSP00000373698	37.037
9606.ENSP00000263253	9606.ENSP00000376445	38.461999999999996
9606.ENSP00000263253	9606.ENSP00000419692	30.337
9606.ENSP00000267163	10407.DPOL_HBVCJ	34.211
9606.ENSP00000267163	10407.HBEAG_HBVCJ	25.0
9606.ENSP00000267163	9606.ENSP00000387699	30.0
9606.ENSP00000269305	9606.ENSP00000269305	100.0
9606.ENSP00000269305	9606.ENSP00000274255	21.698
9606.ENSP00000269305	9606.ENSP00000301764	22.221999999999998
9606.ENSP00000269305	9606.ENSP00000338018	35.484
9606.ENSP00000269305	9606.ENSP00000373698	28.205
9606.ENSP00000269305	9606.ENSP00000401980	36.667
9606.ENSP00000269305	9606.ENSP00000417281	32.609
9606.ENSP00000274026	10407.DPOL_HBVCJ	30.769000000000002
9606.ENSP00000274026	10407.HBEAG_HBVCJ	38.461999999999996
9606.ENSP00000274026	9606.ENSP00000301764	35.714
9606.ENSP00000274026	9606.ENSP00000338018	34.286
9606.ENSP00000274026	9606.ENSP00000354526	38.461999999999996
9606.ENSP00000274026	9606.ENSP00000359531	22.857
9606.ENSP00000274026	9606.ENSP00000373698	37.5
9606.ENSP00000274026	9606.ENSP00000376445	24.444000000000003
9606.ENSP00000274026	9606.ENSP00000419692	24.074
9606.ENSP00000276072	9606.ENSP00000338018	34.043
9606.ENSP00000276072	9606.ENSP00000354526	30.951999999999998
9606.ENSP00000290158	9606.ENSP00000238081	70.0
9606.ENSP00000290158	9606.ENSP00000269305	32.143
9606.ENSP00000290158	9606.ENSP00000301764	26.316
9606.ENSP00000290158	9606.ENSP00000349156	25.287
9606.ENSP00000290158	9606.ENSP00000364589	43.75
9606.ENSP00000290158	9606.ENSP00000417281	34.483000000000004
9606.ENSP00000290158	9606.ENSP00000419692	26.666999999999998
9606.ENSP00000302530	9606.ENSP00000215587	42.105
9606.ENSP00000302530	9606.ENSP00000270202	19.492
9606.ENSP00000302530	9606.ENSP00000274255	60.0
9606.ENSP00000302530	9606.ENSP00000354526	27.631999999999998
9606.ENSP00000302530	9606.ENSP00000359531	34.884
9606.ENSP00000302530	9606.ENSP00000364589	33.333
9606.ENSP00000302530	9606.ENSP00000419692	26.581999999999997
9606.ENSP00000302640	10407.DPOL_HBVCJ	31.818
9606.ENSP00000302640	10407.X_HBVCJ	50.0
9606.ENSP00000302640	9606.ENSP00000270202	16.901
9606.ENSP00000302640	9606.ENSP00000325875	43.75
9606.ENSP00000302640	9606.ENSP00000338018	32.5
9606.ENSP00000302640	9606.ENSP00000359531	33.333
9606.ENSP00000324804	9606.ENSP00000255977	32.143
9606.ENSP00000324804	9606.ENSP00000338018	41.176
9606.ENSP00000324804	9606.ENSP00000354526	37.5
9606.ENSP00000332455	9606.ENSP00000238081	34.211
9606.ENSP00000332455	9606.ENSP00000270202	25.862
9606.ENSP00000332455	9606.ENSP00000274255	40.909
9606.ENSP00000332455	9606.ENSP00000301764	26.316
9606.ENSP00000332455	9606.ENSP00000354526	20.408
9606.ENSP00000332455	9606.ENSP00000364589	35.897
9606.ENSP00000332455	9606.ENSP00000419692	58.333
9606.ENSP00000332706	10407.DPOL_HBVCJ	20.0
9606.ENSP00000332706	9606.ENSP00000269305	54.545
9606.ENSP00000332706	9606.ENSP00000301727	30.435
9606.ENSP00000332706	9606.ENSP00000325875	29.031999999999996
9606.ENSP00000332706	9606.ENSP00000338018	21.839000000000002
9606.ENSP00000332706	9606.ENSP00000417281	43.75
9606.ENSP00000334373	9606.ENSP00000269305	29.268
9606.ENSP00000334373	9606.ENSP00000274255	26.154
9606.ENSP00000334373	9606.ENSP00000301727	28.570999999999998
9606.ENSP00000334373	9606.ENSP00000364589	34.615
9606.ENSP00000334373	9606.ENSP00000376445	38.095
9606.ENSP00000334373	9606.ENSP00000401980	42.857
9606.ENSP00000340278	9606.ENSP00000270202	50.0
9606.ENSP00000340278	9606.ENSP00000301764	50.0
9606.ENSP00000340278	9606.ENSP00000363676	62.5
9606.ENSP00000340278	9606.ENSP00000364589	20.491999999999997
9606.ENSP00000340278	9606.ENSP00000386341	22.449
9606.ENSP00000344504	9606.ENSP00000325875	25.926
9606.ENSP00000354522	10407.DPOL_HBVCJ	34.286
9606.ENSP00000354522	9606.ENSP00000269305	33.333
9606.ENSP00000354522	9606.ENSP00000325875	23.404
9606.ENSP00000354522	9606.ENSP00000338018	36.667
9606.ENSP00000354522	9606.ENSP00000354526	50.0
9606.ENSP00000354588	9606.ENSP00000301764	33.333
9606.ENSP00000354588	9606.ENSP00000387699	29.474
9606.ENSP00000354588	9606.ENSP00000419692	33.333
9606.ENSP00000357858	10407.DPOL_HBVCJ	31.429000000000002
9606.ENSP00000357858	9606.ENSP00000215587	38.095
9606.ENSP00000357858	9606.ENSP00000269305	57.143
9606.ENSP00000357858	9606.ENSP00000301727	32.0
9606.ENSP00000357858	9606.ENSP00000301764	31.034000000000002
9606.ENSP00000357858	9606.ENSP00000325875	52.941
9606.ENSP00000357858	9606.ENSP00000373698	25.316
9606.ENSP00000359206	9606.ENSP00000269305	41.667
9606.ENSP00000359206	9606.ENSP00000274255	35.088
9606.ENSP00000359206	9606.ENSP00000301764	25.503
9606.ENSP00000359206	9606.ENSP00000325875	25.581
9606.ENSP00000359206	9606.ENSP00000364589	50.0
9606.ENSP00000359206	9606.ENSP00000373698	23.864
9606.ENSP00000359531	9606.ENSP00000274255	36.842
9606.ENSP00000359531	9606.ENSP00000301764	42.857
9606.ENSP00000359531	9606.ENSP00000359531	100.0
9606.ENSP00000359531	9606.ENSP00000363676	52.941
9606.ENSP00000359531	9606.ENSP00000373698	33.333
9606.ENSP00000359531	9606.ENSP00000401980	20.588
9606.ENSP00000362649	9606.ENSP00000301764	23.333000000000002
9606.ENSP00000362649	9606.ENSP00000338018	42.105
9606.ENSP00000362649	9606.ENSP00000364589	61.538000000000004
9606.ENSP00000362649	9606.ENSP00000386341	70.0
9606.ENSP00000367207	10407.HBEAG_HBVCJ	41.667
9606.ENSP00000367207	9606.ENSP00000338018	50.0
9606.ENSP00000367207	9606.ENSP00000349156	38.095
9606.ENSP00000367207	9606.ENSP00000376445	25.373
9606.ENSP00000367207	9606.ENSP00000401980	30.555999999999997
9606.ENSP00000368349	10407.DPOL_HBVCJ	29.166999999999998
9606.ENSP00000368349	9606.ENSP00000325875	26.561999999999998
9606.ENSP00000368349	9606.ENSP00000349156	46.153999999999996
