qseqid	sseqid	pident
194441.ENV_HTLV2	11588.NSS_RVFVZ	29.031999999999996
194441.ENV_HTLV2	9606.ENSP00000264071	35.0
194441.ENV_HTLV2	9606.ENSP00000339001	35.0
194441.ENV_HTLV2	9606.ENSP00000341289	35.0
194441.REX_HTLV2	9606.ENSP00000247207	34.375
194441.REX_HTLV2	9606.ENSP00000286788	29.166999999999998
194441.REX_HTLV2	9606.ENSP00000360154	40.0
194441.REX_HTLV2	9606.ENSP00000377958	60.0
194441.REX_HTLV2	9606.ENSP00000384144	43.478
194441.TAX_HTLV2	9606.ENSP00000299300	44.443999999999996
194441.TAX_HTLV2	9606.ENSP00000301071	52.381
194441.TAX_HTLV2	9606.ENSP00000301072	52.381
194441.TAX_HTLV2	9606.ENSP00000384144	48.148
9606.ENSP00000204566	9606.ENSP00000264990	45.455
9606.ENSP00000204566	9606.ENSP00000280326	23.448
9606.ENSP00000204566	9606.ENSP00000316032	34.043
9606.ENSP00000204566	9606.ENSP00000360154	42.857
9606.ENSP00000221996	9606.ENSP00000247207	50.0
9606.ENSP00000221996	9606.ENSP00000296464	28.570999999999998
9606.ENSP00000221996	9606.ENSP00000301071	25.641
9606.ENSP00000221996	9606.ENSP00000301072	33.333
9606.ENSP00000221996	9606.ENSP00000324173	30.840999999999998
9606.ENSP00000238156	9606.ENSP00000280326	38.889
9606.ENSP00000238156	9606.ENSP00000296464	33.333
9606.ENSP00000238156	9606.ENSP00000302961	26.666999999999998
9606.ENSP00000238156	9606.ENSP00000316032	70.0
9606.ENSP00000238156	9606.ENSP00000318687	25.805999999999997
9606.ENSP00000238156	9606.ENSP00000325875	23.276
9606.ENSP00000240343	9606.ENSP00000247207	38.889
9606.ENSP00000240343	9606.ENSP00000265651	71.429
9606.ENSP00000240343	9606.ENSP00000316032	27.778000000000002
9606.ENSP00000240343	9606.ENSP00000318687	36.842
9606.ENSP00000240343	9606.ENSP00000384144	28.570999999999998
9606.ENSP00000242248	9606.ENSP00000264990	66.667
9606.ENSP00000242248	9606.ENSP00000286788	40.0
9606.ENSP00000242248	9606.ENSP00000301071	27.631999999999998
