qseqid	sseqid	ppos
337051.VE2_HPV05	9606.ENSP00000253024	37.68
337051.VE2_HPV05	9606.ENSP00000267064	53.49
337051.VE6_HPV05	9606.ENSP00000324804	52.78
337051.VE6_HPV05	9606.ENSP00000343535	60.0
337051.VE7_HPV05	37296.MIR1_HHV8P	65.0
337051.VE7_HPV05	9606.ENSP00000263253	48.84
337051.VE7_HPV05	9606.ENSP00000264350	55.0
337051.VE7_HPV05	9606.ENSP00000313420	53.85
337051.VE7_HPV05	9606.ENSP00000380969	66.67
9606.ENSP00000005226	37296.VIRF3_HHV8P	43.75
9606.ENSP00000005226	9606.ENSP00000256474	53.57
9606.ENSP00000005226	9606.ENSP00000305503	55.56
9606.ENSP00000005226	9606.ENSP00000353622	53.57
9606.ENSP00000005226	9606.ENSP00000355759	44.0
9606.ENSP00000080059	9606.ENSP00000263253	46.67
9606.ENSP00000080059	9606.ENSP00000300291	51.52
9606.ENSP00000080059	9606.ENSP00000310127	64.29
9606.ENSP00000080059	9606.ENSP00000336701	47.62
9606.ENSP00000080059	9606.ENSP00000344818	40.98
9606.ENSP00000080059	9606.ENSP00000362649	43.4
9606.ENSP00000080059	9606.ENSP00000430432	42.81
9606.ENSP00000190165	37296.LTP_HHV8P	57.14
9606.ENSP00000190165	9606.ENSP00000263253	40.82
9606.ENSP00000190165	9606.ENSP00000325690	42.86
9606.ENSP00000190165	9606.ENSP00000343535	55.17
9606.ENSP00000190165	9606.ENSP00000355759	38.78
9606.ENSP00000204517	37296.ICP27_HHV8P	41.67
9606.ENSP00000204517	37296.LTP_HHV8P	46.15
9606.ENSP00000204517	9606.ENSP00000265428	68.18
9606.ENSP00000204517	9606.ENSP00000267064	66.67
9606.ENSP00000204517	9606.ENSP00000365280	51.16
9606.ENSP00000204517	9606.ENSP00000367207	52.7
9606.ENSP00000204517	9606.ENSP00000398131	44.44
9606.ENSP00000221561	37296.ORF50_HHV8P	35.14
9606.ENSP00000221561	9606.ENSP00000262953	85.07
9606.ENSP00000221561	9606.ENSP00000293760	40.0
9606.ENSP00000221561	9606.ENSP00000323837	48.89
9606.ENSP00000221561	9606.ENSP00000343103	40.43
9606.ENSP00000221561	9606.ENSP00000355759	46.34
9606.ENSP00000221561	9606.ENSP00000355988	46.46
9606.ENSP00000221561	9606.ENSP00000364589	53.19
9606.ENSP00000221561	9606.ENSP00000375863	52.63
9606.ENSP00000222511	37296.GB_HHV8P	60.0
9606.ENSP00000222511	37296.LTP_HHV8P	51.85
9606.ENSP00000222511	9606.ENSP00000264350	56.52
9606.ENSP00000222511	9606.ENSP00000281708	54.55
9606.ENSP00000222511	9606.ENSP00000283179	42.86
9606.ENSP00000222511	9606.ENSP00000343103	59.09
9606.ENSP00000222511	9606.ENSP00000398131	47.5
9606.ENSP00000225688	37296.MIR1_HHV8P	56.0
9606.ENSP00000225688	9606.ENSP00000262367	51.72
9606.ENSP00000225688	9606.ENSP00000264350	51.43
9606.ENSP00000225688	9606.ENSP00000283179	51.22
9606.ENSP00000225688	9606.ENSP00000356708	57.5
9606.ENSP00000225688	9606.ENSP00000359095	43.94
9606.ENSP00000225688	9606.ENSP00000364805	47.17
9606.ENSP00000225737	37296.LTP_HHV8P	90.0
9606.ENSP00000225737	9606.ENSP00000386229	51.16
9606.ENSP00000225737	9606.ENSP00000399968	51.61
9606.ENSP00000228307	9606.ENSP00000071281	45.02
9606.ENSP00000228307	9606.ENSP00000253024	50.0
9606.ENSP00000228307	9606.ENSP00000262367	38.37
9606.ENSP00000228307	9606.ENSP00000262953	40.0
9606.ENSP00000228307	9606.ENSP00000265372	57.14
9606.ENSP00000228307	9606.ENSP00000281708	58.33
9606.ENSP00000228307	9606.ENSP00000329411	43.24
9606.ENSP00000228307	9606.ENSP00000343535	40.0
9606.ENSP00000228307	9606.ENSP00000356708	46.3
9606.ENSP00000228307	9606.ENSP00000364270	44.0
9606.ENSP00000228307	9606.ENSP00000406955	37.5
9606.ENSP00000229854	9606.ENSP00000201031	45.71
