qseqid	sseqid	pident
337051.VE2_HPV05	9606.ENSP00000265990	20.651999999999997
337051.VE2_HPV05	9606.ENSP00000337194	30.0
337051.VE2_HPV05	9606.ENSP00000346120	40.741
337051.VE2_HPV05	9606.ENSP00000349252	42.222
337051.VE2_HPV05	9606.ENSP00000382863	33.333
337051.VE6_HPV05	9606.ENSP00000273130	38.298
337051.VE6_HPV05	9606.ENSP00000297056	25.0
337051.VE6_HPV05	9606.ENSP00000365991	53.333
337051.VE7_HPV05	9606.ENSP00000262238	35.0
337051.VE7_HPV05	9606.ENSP00000307288	36.667
337051.VE7_HPV05	9606.ENSP00000312697	40.909
337051.VE7_HPV05	9606.ENSP00000313420	42.308
337051.VE7_HPV05	9606.ENSP00000316032	27.273000000000003
337051.VE7_HPV05	9606.ENSP00000327214	41.379
337051.VE7_HPV05	9606.ENSP00000358140	40.0
337051.VE7_HPV05	9606.ENSP00000364847	32.258
337051.VE7_HPV05	9606.ENSP00000377298	27.66
9606.ENSP00000005226	9606.ENSP00000235329	29.73
9606.ENSP00000005226	9606.ENSP00000262464	23.611
9606.ENSP00000005226	9606.ENSP00000263650	26.374000000000002
9606.ENSP00000005226	9606.ENSP00000271640	52.381
9606.ENSP00000005226	9606.ENSP00000296255	29.412
9606.ENSP00000005226	9606.ENSP00000320543	27.535999999999998
9606.ENSP00000005226	9606.ENSP00000347890	29.839000000000002
9606.ENSP00000005226	9606.ENSP00000358140	34.286
9606.ENSP00000005226	9606.ENSP00000365569	26.436999999999998
9606.ENSP00000005226	9606.ENSP00000370330	37.313
9606.ENSP00000005226	9606.ENSP00000371475	33.333
9606.ENSP00000080059	9606.ENSP00000250495	29.73
9606.ENSP00000080059	9606.ENSP00000252455	34.328
9606.ENSP00000080059	9606.ENSP00000272317	29.73
9606.ENSP00000080059	9606.ENSP00000302967	34.815
9606.ENSP00000080059	9606.ENSP00000334061	45.526
9606.ENSP00000080059	9606.ENSP00000341938	37.838
9606.ENSP00000080059	9606.ENSP00000362649	26.73
9606.ENSP00000080059	9606.ENSP00000362674	34.211
9606.ENSP00000080059	9606.ENSP00000378702	23.776
9606.ENSP00000080059	9606.ENSP00000430432	26.37
9606.ENSP00000190165	9606.ENSP00000282516	30.337
9606.ENSP00000190165	9606.ENSP00000341382	39.024
9606.ENSP00000190165	9606.ENSP00000358812	61.111000000000004
9606.ENSP00000190165	9606.ENSP00000370104	37.778
9606.ENSP00000204517	9606.ENSP00000254480	44.443999999999996
9606.ENSP00000204517	9606.ENSP00000262710	30.508000000000003
9606.ENSP00000204517	9606.ENSP00000265773	28.283
9606.ENSP00000204517	9606.ENSP00000284776	34.0
9606.ENSP00000204517	9606.ENSP00000299259	42.105
9606.ENSP00000204517	9606.ENSP00000320038	55.556000000000004
9606.ENSP00000204517	9606.ENSP00000349508	28.889
9606.ENSP00000204517	9606.ENSP00000354346	34.286
9606.ENSP00000204517	9606.ENSP00000374212	34.286
9606.ENSP00000204517	9606.ENSP00000376652	33.929
9606.ENSP00000204517	9606.ENSP00000450710	24.138
9606.ENSP00000216122	9606.ENSP00000229854	32.766999999999996
9606.ENSP00000216122	9606.ENSP00000247668	21.978
9606.ENSP00000216122	9606.ENSP00000264156	33.039
9606.ENSP00000216122	9606.ENSP00000264714	30.555999999999997
9606.ENSP00000216122	9606.ENSP00000273130	30.159000000000002
9606.ENSP00000216122	9606.ENSP00000284981	33.333
9606.ENSP00000216122	9606.ENSP00000296930	27.119
9606.ENSP00000216122	9606.ENSP00000307288	31.853
9606.ENSP00000216122	9606.ENSP00000359489	27.16
9606.ENSP00000221561	9606.ENSP00000290573	28.570999999999998
9606.ENSP00000221561	9606.ENSP00000296255	40.0
9606.ENSP00000221561	9606.ENSP00000361990	42.105
9606.ENSP00000221561	9606.ENSP00000364912	30.136999999999997
9606.ENSP00000221561	9606.ENSP00000369042	46.428999999999995
9606.ENSP00000221561	9606.ENSP00000377298	24.8
9606.ENSP00000221561	9606.ENSP00000378394	25.0
9606.ENSP00000221561	9606.ENSP00000389182	31.343000000000004
9606.ENSP00000222511	9606.ENSP00000205061	21.154
9606.ENSP00000222511	9606.ENSP00000259253	31.169
9606.ENSP00000222511	9606.ENSP00000262077	39.216
9606.ENSP00000222511	9606.ENSP00000264718	25.61
9606.ENSP00000222511	9606.ENSP00000265857	40.909
9606.ENSP00000222511	9606.ENSP00000272102	23.913
9606.ENSP00000222511	9606.ENSP00000301764	24.741999999999997
9606.ENSP00000222511	9606.ENSP00000324122	25.805999999999997
9606.ENSP00000222511	9606.ENSP00000330054	27.5
9606.ENSP00000222511	9606.ENSP00000336712	30.263
9606.ENSP00000222511	9606.ENSP00000347890	29.73
9606.ENSP00000222511	9606.ENSP00000354040	37.5
9606.ENSP00000222511	9606.ENSP00000383986	26.744
9606.ENSP00000222511	9606.ENSP00000395772	29.825
9606.ENSP00000225688	9606.ENSP00000216181	21.818
9606.ENSP00000225688	9606.ENSP00000285735	25.862
