qseqid	sseqid	ppos
11234.HEMA_MEASC	9606.ENSP00000299427	45.71
11234.HEMA_MEASC	9606.ENSP00000345008	37.9
11234.HEMA_MEASC	9606.ENSP00000345530	47.37
11234.NCAP_MEASC	9606.ENSP00000262127	49.12
11234.NCAP_MEASC	9606.ENSP00000270645	42.68
11234.NCAP_MEASC	9606.ENSP00000299427	42.05
11234.NCAP_MEASC	9606.ENSP00000324532	45.83
11234.NCAP_MEASC	9606.ENSP00000338799	51.52
11234.PHOSP_MEASC	9606.ENSP00000263388	45.35
11234.PHOSP_MEASC	9606.ENSP00000294016	42.86
11234.PHOSP_MEASC	9606.ENSP00000311905	53.57
11234.PHOSP_MEASC	9606.ENSP00000312143	43.02
11234.PHOSP_MEASC	9606.ENSP00000353375	68.18
11234.PHOSP_MEASC	9606.ENSP00000369677	48.05
11234.PHOSP_MEASC	9606.ENSP00000384863	82.35
11234.V_MEASC	10376.LTP_EBVB9	48.57
11234.V_MEASC	9606.ENSP00000263388	45.35
11234.V_MEASC	9606.ENSP00000301740	44.83
11234.V_MEASC	9606.ENSP00000312143	43.02
11234.V_MEASC	9606.ENSP00000339957	43.88
11234.V_MEASC	9606.ENSP00000351410	38.33
11234.V_MEASC	9606.ENSP00000353375	68.18
11234.V_MEASC	9606.ENSP00000429084	60.0
9606.ENSP00000000412	9606.ENSP00000258341	40.82
9606.ENSP00000000412	9606.ENSP00000349437	44.26
9606.ENSP00000000412	9606.ENSP00000392057	52.17
9606.ENSP00000006777	9606.ENSP00000222572	40.54
9606.ENSP00000006777	9606.ENSP00000261168	44.12
9606.ENSP00000006777	9606.ENSP00000274276	44.58
9606.ENSP00000006777	9606.ENSP00000356265	45.28
9606.ENSP00000006777	9606.ENSP00000391249	50.88
9606.ENSP00000006777	9606.ENSP00000392057	39.62
9606.ENSP00000011619	9606.ENSP00000267113	43.48
9606.ENSP00000011619	9606.ENSP00000283033	52.38
9606.ENSP00000011619	9606.ENSP00000283179	48.72
9606.ENSP00000011619	9606.ENSP00000318916	47.06
9606.ENSP00000011619	9606.ENSP00000326261	50.0
9606.ENSP00000011619	9606.ENSP00000338523	44.19
9606.ENSP00000011619	9606.ENSP00000339299	38.24
9606.ENSP00000011619	9606.ENSP00000358363	53.97
9606.ENSP00000011619	9606.ENSP00000364721	41.79
9606.ENSP00000011619	9606.ENSP00000406209	45.76
9606.ENSP00000054666	9606.ENSP00000222399	47.62
9606.ENSP00000054666	9606.ENSP00000238256	44.78
9606.ENSP00000054666	9606.ENSP00000262640	61.29
9606.ENSP00000054666	9606.ENSP00000280772	59.38
9606.ENSP00000054666	9606.ENSP00000282003	68.18
9606.ENSP00000054666	9606.ENSP00000305647	60.66
9606.ENSP00000054666	9606.ENSP00000333539	46.34
9606.ENSP00000054666	9606.ENSP00000333982	43.64
9606.ENSP00000054666	9606.ENSP00000339299	42.03
9606.ENSP00000054666	9606.ENSP00000341268	73.68
9606.ENSP00000054666	9606.ENSP00000350310	48.39
9606.ENSP00000054666	9606.ENSP00000354158	74.19
9606.ENSP00000054666	9606.ENSP00000355180	69.7
9606.ENSP00000054666	9606.ENSP00000363338	46.97
9606.ENSP00000054666	9606.ENSP00000377502	55.0
9606.ENSP00000156825	9606.ENSP00000261405	57.14
9606.ENSP00000156825	9606.ENSP00000300737	46.77
9606.ENSP00000156825	9606.ENSP00000310572	50.0
9606.ENSP00000156825	9606.ENSP00000320232	59.46
9606.ENSP00000156825	9606.ENSP00000339958	48.94
9606.ENSP00000202773	9606.ENSP00000316357	46.58
9606.ENSP00000202773	9606.ENSP00000337688	59.26
9606.ENSP00000202773	9606.ENSP00000365725	53.06
9606.ENSP00000203407	10376.DNBI_EBVB9	50.85
9606.ENSP00000203407	9606.ENSP00000346027	55.17
9606.ENSP00000203407	9606.ENSP00000351132	53.85
9606.ENSP00000203407	9606.ENSP00000356425	46.51
9606.ENSP00000203630	9606.ENSP00000234831	47.62
9606.ENSP00000203630	9606.ENSP00000269571	49.06
9606.ENSP00000203630	9606.ENSP00000312143	60.0
9606.ENSP00000203630	9606.ENSP00000348965	61.54
9606.ENSP00000203630	9606.ENSP00000353030	47.83
9606.ENSP00000206542	9606.ENSP00000222399	51.22
9606.ENSP00000206542	9606.ENSP00000325074	44.62
9606.ENSP00000206542	9606.ENSP00000352208	41.56
9606.ENSP00000206542	9606.ENSP00000363095	51.72
9606.ENSP00000206542	9606.ENSP00000365007	54.17
9606.ENSP00000206542	9606.ENSP00000371419	61.54
9606.ENSP00000215375	9606.ENSP00000333298	54.76
