qseqid	sseqid	ppos
351073.MU2_REOVL	9606.ENSP00000262375	70.59
351073.MU2_REOVL	9606.ENSP00000271015	41.91
351073.MU2_REOVL	9606.ENSP00000357555	90.0
351073.MU2_REOVL	9606.ENSP00000364403	70.59
351073.SIGM3_REOVL	9606.ENSP00000239882	51.43
351073.SIGM3_REOVL	9606.ENSP00000328426	69.23
351073.SIGM3_REOVL	9606.ENSP00000362768	55.17
9606.ENSP00000228251	9606.ENSP00000080059	44.68
9606.ENSP00000228251	9606.ENSP00000355180	57.14
9606.ENSP00000252050	337051.VE6_HPV05	41.67
9606.ENSP00000252050	9606.ENSP00000267163	52.38
9606.ENSP00000252050	9606.ENSP00000295321	44.83
9606.ENSP00000252050	9606.ENSP00000325929	84.62
9606.ENSP00000252050	9606.ENSP00000369625	69.57
9606.ENSP00000270625	9606.ENSP00000262375	50.0
9606.ENSP00000270625	9606.ENSP00000295025	57.14
9606.ENSP00000270625	9606.ENSP00000314709	48.44
9606.ENSP00000270625	9606.ENSP00000333539	60.0
9606.ENSP00000275603	9606.ENSP00000275603	100.0
9606.ENSP00000275603	9606.ENSP00000304592	44.44
9606.ENSP00000275603	9606.ENSP00000307288	85.71
9606.ENSP00000275603	9606.ENSP00000312143	55.26
9606.ENSP00000275603	9606.ENSP00000353375	48.28
9606.ENSP00000275603	9606.ENSP00000388872	45.0
9606.ENSP00000280326	9606.ENSP00000271277	50.0
9606.ENSP00000280326	9606.ENSP00000275603	53.85
9606.ENSP00000280326	9606.ENSP00000369625	40.48
9606.ENSP00000281456	9606.ENSP00000222511	43.96
9606.ENSP00000281456	9606.ENSP00000304592	51.85
9606.ENSP00000281456	9606.ENSP00000345374	71.43
9606.ENSP00000295688	9606.ENSP00000275603	57.0
9606.ENSP00000295688	9606.ENSP00000391453	57.14
9606.ENSP00000301071	9606.ENSP00000304592	51.06
9606.ENSP00000301071	9606.ENSP00000308450	44.19
9606.ENSP00000301072	9606.ENSP00000304592	51.06
9606.ENSP00000301072	9606.ENSP00000308450	44.19
9606.ENSP00000305790	9606.ENSP00000216122	50.0
9606.ENSP00000305790	9606.ENSP00000345731	48.78
9606.ENSP00000305790	9606.ENSP00000347560	40.16
9606.ENSP00000310670	9606.ENSP00000262367	60.0
9606.ENSP00000310670	9606.ENSP00000299824	40.0
9606.ENSP00000310670	9606.ENSP00000310701	44.83
9606.ENSP00000310670	9606.ENSP00000324404	50.63
9606.ENSP00000310670	9606.ENSP00000333539	53.52
9606.ENSP00000310670	9606.ENSP00000348099	44.64
9606.ENSP00000310670	9606.ENSP00000349541	60.71
9606.ENSP00000310670	9606.ENSP00000364403	56.67
9606.ENSP00000310670	9606.ENSP00000391249	51.52
9606.ENSP00000311747	9606.ENSP00000260130	61.54
9606.ENSP00000311747	9606.ENSP00000295025	51.67
9606.ENSP00000311747	9606.ENSP00000309166	100.0
9606.ENSP00000311747	9606.ENSP00000401303	34.38
9606.ENSP00000313007	9606.ENSP00000309166	47.85
9606.ENSP00000313007	9606.ENSP00000359818	70.0
9606.ENSP00000313007	9606.ENSP00000364403	36.26
9606.ENSP00000313007	9606.ENSP00000384222	68.18
9606.ENSP00000313007	9606.ENSP00000385450	46.81
9606.ENSP00000313007	9606.ENSP00000391249	35.14
9606.ENSP00000313007	9606.ENSP00000429084	70.42
9606.ENSP00000318861	9606.ENSP00000231004	46.67
9606.ENSP00000318861	9606.ENSP00000314709	57.14
9606.ENSP00000318861	9606.ENSP00000330188	53.57
9606.ENSP00000318861	9606.ENSP00000330276	62.5
9606.ENSP00000318861	9606.ENSP00000331201	41.18
9606.ENSP00000318861	9606.ENSP00000364403	50.0
9606.ENSP00000318861	9606.ENSP00000383145	40.0
9606.ENSP00000325136	9606.ENSP00000304592	50.0
9606.ENSP00000325136	9606.ENSP00000408295	46.51
9606.ENSP00000325136	9606.ENSP00000435634	52.17
9606.ENSP00000330054	9606.ENSP00000222511	48.75
9606.ENSP00000330054	9606.ENSP00000225688	65.38
9606.ENSP00000330054	9606.ENSP00000257604	52.78
9606.ENSP00000330054	9606.ENSP00000260665	60.87
9606.ENSP00000330054	9606.ENSP00000262375	50.0
9606.ENSP00000330054	9606.ENSP00000263253	50.0
9606.ENSP00000330054	9606.ENSP00000264606	60.87
9606.ENSP00000330054	9606.ENSP00000278823	43.48
9606.ENSP00000330054	9606.ENSP00000307288	52.17
9606.ENSP00000330054	9606.ENSP00000310701	44.19
9606.ENSP00000330054	9606.ENSP00000348099	35.8
9606.ENSP00000330054	9606.ENSP00000391249	40.4
9606.ENSP00000330054	9606.ENSP00000417132	57.45
9606.ENSP00000330054	9606.ENSP00000418401	44.2
9606.ENSP00000336721	9606.ENSP00000324122	46.81
9606.ENSP00000336721	9606.ENSP00000362768	52.83
9606.ENSP00000336721	9606.ENSP00000364403	66.67
9606.ENSP00000336721	9606.ENSP00000383145	39.83
9606.ENSP00000339001	9606.ENSP00000270162	55.0
9606.ENSP00000339001	9606.ENSP00000301740	65.22
9606.ENSP00000339001	9606.ENSP00000309597	42.86
9606.ENSP00000339001	9606.ENSP00000352841	60.71
9606.ENSP00000339001	9606.ENSP00000360992	42.35
9606.ENSP00000339001	9606.ENSP00000391249	58.97
9606.ENSP00000350767	9606.ENSP00000264982	75.0
