qseqid	sseqid	ppos
35305.NSS_BUNL8	9606.ENSP00000229922	44.44
35305.NSS_BUNL8	9606.ENSP00000261168	69.23
35305.NSS_BUNL8	9606.ENSP00000304592	52.94
35305.NSS_BUNL8	9606.ENSP00000311405	57.58
35305.NSS_BUNL8	9606.ENSP00000352601	57.14
35305.NSS_BUNL8	9606.ENSP00000429084	90.0
35305.NSS_BUNL8	9606.ENSP00000440586	47.37
9606.ENSP00000216181	9606.ENSP00000217971	62.96
9606.ENSP00000216181	9606.ENSP00000222399	43.44
9606.ENSP00000216181	9606.ENSP00000224140	60.38
9606.ENSP00000216181	9606.ENSP00000224237	51.4
9606.ENSP00000216181	9606.ENSP00000238256	48.86
9606.ENSP00000216181	9606.ENSP00000245503	61.83
9606.ENSP00000216181	9606.ENSP00000253925	50.0
9606.ENSP00000216181	9606.ENSP00000258341	46.98
9606.ENSP00000216181	9606.ENSP00000258947	56.73
9606.ENSP00000216181	9606.ENSP00000260665	41.33
9606.ENSP00000216181	9606.ENSP00000261622	45.95
9606.ENSP00000216181	9606.ENSP00000262843	47.13
9606.ENSP00000216181	9606.ENSP00000265272	46.25
9606.ENSP00000216181	9606.ENSP00000269383	47.92
9606.ENSP00000216181	9606.ENSP00000274695	52.0
9606.ENSP00000216181	9606.ENSP00000283033	45.87
9606.ENSP00000216181	9606.ENSP00000299157	48.46
9606.ENSP00000216181	9606.ENSP00000299314	42.11
9606.ENSP00000216181	9606.ENSP00000323300	45.61
9606.ENSP00000216181	9606.ENSP00000324422	44.9
9606.ENSP00000216181	9606.ENSP00000324532	46.71
9606.ENSP00000216181	9606.ENSP00000329165	50.0
9606.ENSP00000216181	9606.ENSP00000333982	55.47
9606.ENSP00000216181	9606.ENSP00000342136	44.97
9606.ENSP00000216181	9606.ENSP00000345892	45.4
9606.ENSP00000216181	9606.ENSP00000346560	45.24
9606.ENSP00000216181	9606.ENSP00000347532	50.98
9606.ENSP00000216181	9606.ENSP00000347560	47.28
9606.ENSP00000216181	9606.ENSP00000351503	56.06
9606.ENSP00000216181	9606.ENSP00000358363	46.59
9606.ENSP00000216181	9606.ENSP00000363095	47.56
9606.ENSP00000216181	9606.ENSP00000366404	47.97
9606.ENSP00000216181	9606.ENSP00000379612	44.44
9606.ENSP00000216181	9606.ENSP00000380444	56.72
9606.ENSP00000216181	9606.ENSP00000401514	45.49
9606.ENSP00000216181	9606.ENSP00000404220	46.72
9606.ENSP00000216181	9606.ENSP00000440586	50.0
9606.ENSP00000217182	9606.ENSP00000237289	50.0
9606.ENSP00000217182	9606.ENSP00000261168	45.31
9606.ENSP00000217182	9606.ENSP00000262375	50.0
9606.ENSP00000217182	9606.ENSP00000263409	38.46
9606.ENSP00000217182	9606.ENSP00000332756	55.56
9606.ENSP00000217182	9606.ENSP00000357879	40.26
9606.ENSP00000217182	9606.ENSP00000360184	60.0
9606.ENSP00000217182	9606.ENSP00000376472	62.16
9606.ENSP00000217426	9606.ENSP00000283195	48.89
9606.ENSP00000217426	9606.ENSP00000339958	85.71
