qseqid	sseqid	bitscore
194440.ENV_HTL1C	9606.ENSP00000233627	23.1
194440.ENV_HTL1C	9606.ENSP00000301764	24.3
194440.HBZ_HTL1C	9606.ENSP00000259335	22.3
194440.HBZ_HTL1C	9606.ENSP00000295688	22.3
194440.HBZ_HTL1C	9606.ENSP00000351552	22.7
194440.HBZ_HTL1C	9606.ENSP00000355890	25.8
194440.HBZ_HTL1C	9606.ENSP00000378917	23.9
194440.REX_HTL1C	9606.ENSP00000249806	23.1
194440.REX_HTL1C	9606.ENSP00000259818	25.0
194440.REX_HTL1C	9606.ENSP00000264071	25.0
194440.REX_HTL1C	9606.ENSP00000318697	25.0
194440.REX_HTL1C	9606.ENSP00000339001	25.0
194440.REX_HTL1C	9606.ENSP00000341289	25.0
194440.REX_HTL1C	9606.ENSP00000369703	25.4
194440.REX_HTL1C	9606.ENSP00000451560	25.0
194440.TAX_HTL1C	9606.ENSP00000215739	23.9
194440.TAX_HTL1C	9606.ENSP00000264705	26.2
194440.TAX_HTL1C	9606.ENSP00000300648	23.1
194440.TAX_HTL1C	9606.ENSP00000355895	24.6
194440.TAX_HTL1C	9606.ENSP00000384144	23.5
9606.ENSP00000005340	11234.NCAP_MEASC	23.9
9606.ENSP00000005340	9606.ENSP00000203630	24.6
9606.ENSP00000005340	9606.ENSP00000256366	53.9
9606.ENSP00000005340	9606.ENSP00000261183	23.9
9606.ENSP00000005340	9606.ENSP00000295470	23.9
9606.ENSP00000005340	9606.ENSP00000325875	25.4
9606.ENSP00000005340	9606.ENSP00000335153	26.2
9606.ENSP00000005340	9606.ENSP00000408730	23.5
9606.ENSP00000200457	9606.ENSP00000278353	29.3
9606.ENSP00000200457	9606.ENSP00000329411	24.6
9606.ENSP00000200457	9606.ENSP00000340466	23.5
9606.ENSP00000200457	9606.ENSP00000345656	28.9
9606.ENSP00000200457	9606.ENSP00000354125	24.3
9606.ENSP00000200457	9606.ENSP00000355759	27.7
9606.ENSP00000200457	9606.ENSP00000412324	26.6
9606.ENSP00000204566	9606.ENSP00000257245	21.6
9606.ENSP00000204566	9606.ENSP00000261942	25.0
9606.ENSP00000204566	9606.ENSP00000313420	23.5
9606.ENSP00000204566	9606.ENSP00000356991	22.7
9606.ENSP00000204566	9606.ENSP00000359424	22.7
9606.ENSP00000204566	9606.ENSP00000375977	23.9
9606.ENSP00000221996	9606.ENSP00000304437	23.9
9606.ENSP00000221996	9606.ENSP00000311028	22.3
9606.ENSP00000221996	9606.ENSP00000341382	26.9
9606.ENSP00000221996	9606.ENSP00000354468	22.3
9606.ENSP00000221996	9606.ENSP00000359424	25.8
9606.ENSP00000222224	9606.ENSP00000364847	21.9
9606.ENSP00000233331	9606.ENSP00000262854	25.4
9606.ENSP00000233331	9606.ENSP00000296464	26.2
9606.ENSP00000233331	9606.ENSP00000317780	23.5
9606.ENSP00000233331	9606.ENSP00000354720	24.6
9606.ENSP00000233331	9606.ENSP00000369127	23.1
9606.ENSP00000235310	9606.ENSP00000269143	23.1
9606.ENSP00000235310	9606.ENSP00000296509	54.7
9606.ENSP00000235310	9606.ENSP00000318687	21.9
9606.ENSP00000235310	9606.ENSP00000348510	22.7
9606.ENSP00000235310	9606.ENSP00000357048	21.9
9606.ENSP00000238156	9606.ENSP00000265351	23.9
9606.ENSP00000238156	9606.ENSP00000290913	24.6
9606.ENSP00000238156	9606.ENSP00000305653	23.1
9606.ENSP00000238156	9606.ENSP00000341382	23.1
9606.ENSP00000238156	9606.ENSP00000354720	25.0
9606.ENSP00000238156	9606.ENSP00000392330	23.9
9606.ENSP00000240343	9606.ENSP00000216218	21.2
9606.ENSP00000240343	9606.ENSP00000259335	20.4
9606.ENSP00000240343	9606.ENSP00000263956	20.8
9606.ENSP00000240343	9606.ENSP00000285968	20.8
9606.ENSP00000240343	9606.ENSP00000305653	22.3
9606.ENSP00000240343	9606.ENSP00000340742	21.6
9606.ENSP00000240343	9606.ENSP00000362688	23.1
9606.ENSP00000240343	9606.ENSP00000375977	20.8
9606.ENSP00000240343	9606.ENSP00000377148	21.6
9606.ENSP00000240343	9606.ENSP00000378887	21.2
9606.ENSP00000240343	9606.ENSP00000384144	20.8
9606.ENSP00000242248	9606.ENSP00000261183	23.9
9606.ENSP00000242248	9606.ENSP00000265388	23.5
9606.ENSP00000242248	9606.ENSP00000354720	25.4
9606.ENSP00000242248	9606.ENSP00000358640	23.5
9606.ENSP00000242248	9606.ENSP00000382274	23.5
9606.ENSP00000246912	9606.ENSP00000264018	28.1
9606.ENSP00000246912	9606.ENSP00000310668	23.5
9606.ENSP00000246912	9606.ENSP00000343535	24.3
9606.ENSP00000246912	9606.ENSP00000349508	22.7
9606.ENSP00000246912	9606.ENSP00000355759	24.6
