qseqid	sseqid	bitscore
10407.DPOL_HBVCJ	9606.ENSP00000326804	19.2
10407.HBEAG_HBVCJ	10258.Q6TVJ1_ORFSA	17.3
10407.HBEAG_HBVCJ	10258.Q6TVJ7_ORFSA	16.5
10407.HBEAG_HBVCJ	9606.ENSP00000216225	18.1
10407.HBEAG_HBVCJ	9606.ENSP00000299218	18.5
10407.X_HBVCJ	10258.Q6TVJ1_ORFSA	18.9
10407.X_HBVCJ	9606.ENSP00000299218	16.9
10407.X_HBVCJ	9606.ENSP00000326804	18.1
9606.ENSP00000215587	9606.ENSP00000299218	21.6
9606.ENSP00000215587	9606.ENSP00000326804	18.5
9606.ENSP00000238081	10258.Q6TVJ4_ORFSA	19.2
9606.ENSP00000238081	10258.Q6TVJ7_ORFSA	17.7
9606.ENSP00000238081	9606.ENSP00000299218	19.2
9606.ENSP00000255977	10258.Q6TVJ2_ORFSA	20.4
9606.ENSP00000255977	10258.Q6TVJ4_ORFSA	21.2
9606.ENSP00000255977	10258.Q6TVW2_ORFSA	18.5
9606.ENSP00000255977	9606.ENSP00000216225	25.0
9606.ENSP00000255977	9606.ENSP00000231487	20.0
9606.ENSP00000255977	9606.ENSP00000299218	18.1
9606.ENSP00000255977	9606.ENSP00000326804	21.9
9606.ENSP00000269305	10258.Q6TVJ1_ORFSA	21.2
9606.ENSP00000269305	9606.ENSP00000299218	19.2
9606.ENSP00000270202	9606.ENSP00000231487	18.1
9606.ENSP00000274255	10258.Q6TVJ2_ORFSA	18.5
9606.ENSP00000274255	9606.ENSP00000299218	19.2
9606.ENSP00000274255	9606.ENSP00000326804	18.5
9606.ENSP00000301727	10258.Q6TVJ2_ORFSA	19.6
9606.ENSP00000301727	10258.Q6TVJ4_ORFSA	19.2
9606.ENSP00000301727	10258.Q6TVJ7_ORFSA	20.0
9606.ENSP00000301727	9606.ENSP00000299218	18.9
9606.ENSP00000301764	9606.ENSP00000299218	19.6
9606.ENSP00000325875	10258.Q6TVJ2_ORFSA	20.0
9606.ENSP00000325875	10258.Q6TVJ7_ORFSA	19.2
9606.ENSP00000325875	9606.ENSP00000299218	21.6
9606.ENSP00000325875	9606.ENSP00000326804	23.9
9606.ENSP00000338018	10258.Q6TVJ2_ORFSA	22.7
9606.ENSP00000338018	9606.ENSP00000299218	19.6
9606.ENSP00000349156	10258.Q6TVJ1_ORFSA	23.5
9606.ENSP00000349156	10258.Q6TVJ2_ORFSA	16.9
9606.ENSP00000349156	9606.ENSP00000216225	19.6
9606.ENSP00000349156	9606.ENSP00000299218	20.4
9606.ENSP00000349156	9606.ENSP00000326804	18.9
9606.ENSP00000354526	10258.Q6TVJ7_ORFSA	19.6
9606.ENSP00000354526	9606.ENSP00000299218	18.5
9606.ENSP00000354526	9606.ENSP00000326804	18.9
9606.ENSP00000359531	10258.Q6TVJ2_ORFSA	17.7
9606.ENSP00000359531	10258.Q6TVJ7_ORFSA	18.5
9606.ENSP00000359531	10258.Q6TVW2_ORFSA	20.8
9606.ENSP00000359531	9606.ENSP00000299218	20.0
9606.ENSP00000359531	9606.ENSP00000326804	18.1
9606.ENSP00000363676	10258.Q6TVJ1_ORFSA	16.9
9606.ENSP00000363676	10258.Q6TVJ4_ORFSA	16.5
9606.ENSP00000363676	10258.Q6TVJ7_ORFSA	17.3
9606.ENSP00000363676	10258.Q6TVW2_ORFSA	18.5
9606.ENSP00000364589	10258.Q6TVJ1_ORFSA	20.8
9606.ENSP00000364589	10258.Q6TVJ4_ORFSA	18.9
9606.ENSP00000364589	10258.Q6TVW2_ORFSA	22.3
9606.ENSP00000364589	9606.ENSP00000299218	21.6
9606.ENSP00000364589	9606.ENSP00000326804	322.0
9606.ENSP00000373698	9606.ENSP00000231487	17.3
9606.ENSP00000373698	9606.ENSP00000326804	17.7
9606.ENSP00000376445	10258.Q6TVJ2_ORFSA	17.7
9606.ENSP00000376445	10258.Q6TVJ4_ORFSA	19.2
9606.ENSP00000376445	10258.Q6TVW2_ORFSA	16.5
9606.ENSP00000376445	9606.ENSP00000299218	18.5
9606.ENSP00000376445	9606.ENSP00000326804	19.2
9606.ENSP00000386341	9606.ENSP00000299218	18.5
9606.ENSP00000387699	10258.Q6TVJ2_ORFSA	20.8
9606.ENSP00000387699	10258.Q6TVJ7_ORFSA	18.5
9606.ENSP00000387699	10258.Q6TVW2_ORFSA	18.5
9606.ENSP00000387699	9606.ENSP00000326804	17.3
9606.ENSP00000401980	10258.Q6TVJ2_ORFSA	19.2
9606.ENSP00000401980	9606.ENSP00000299218	20.4
9606.ENSP00000417281	10258.Q6TVJ4_ORFSA	18.1
9606.ENSP00000419692	9606.ENSP00000231487	17.7
