qseqid	sseqid	bitscore
194440.ENV_HTL1C	9606.ENSP00000301071	21.6
194440.ENV_HTL1C	9606.ENSP00000301072	23.5
194440.ENV_HTL1C	9606.ENSP00000354772	21.6
194440.ENV_HTL1C	9606.ENSP00000357905	20.8
194440.HBZ_HTL1C	63330.V_HENDH	18.5
194440.HBZ_HTL1C	63330.W_HENDH	18.5
194440.HBZ_HTL1C	9606.ENSP00000251968	18.9
194440.HBZ_HTL1C	9606.ENSP00000261667	19.6
194440.HBZ_HTL1C	9606.ENSP00000334373	20.0
194440.REX_HTL1C	9606.ENSP00000216336	19.2
194440.REX_HTL1C	9606.ENSP00000245323	20.4
194440.REX_HTL1C	9606.ENSP00000267202	18.9
194440.REX_HTL1C	9606.ENSP00000314363	19.2
194440.TAX_HTL1C	9606.ENSP00000231751	20.4
194440.TAX_HTL1C	9606.ENSP00000261667	20.0
194440.TAX_HTL1C	9606.ENSP00000289316	20.0
194440.TAX_HTL1C	9606.ENSP00000321744	20.0
194440.TAX_HTL1C	9606.ENSP00000334373	20.0
194440.TAX_HTL1C	9606.ENSP00000348706	20.0
194440.TAX_HTL1C	9606.ENSP00000349430	20.0
194440.TAX_HTL1C	9606.ENSP00000352442	18.9
194440.TAX_HTL1C	9606.ENSP00000380177	19.6
194440.TAX_HTL1C	9606.ENSP00000445831	20.0
9606.ENSP00000005340	9606.ENSP00000251968	24.6
9606.ENSP00000005340	9606.ENSP00000263621	21.2
9606.ENSP00000200457	9606.ENSP00000231751	20.4
9606.ENSP00000200457	9606.ENSP00000251642	24.6
9606.ENSP00000200457	9606.ENSP00000263642	22.7
9606.ENSP00000200457	9606.ENSP00000303373	20.0
9606.ENSP00000200457	9606.ENSP00000328484	20.0
9606.ENSP00000200457	9606.ENSP00000341094	20.0
9606.ENSP00000200457	9606.ENSP00000352119	20.0
9606.ENSP00000200457	9606.ENSP00000352627	20.0
9606.ENSP00000200457	9606.ENSP00000354772	20.0
9606.ENSP00000200457	9606.ENSP00000366679	20.0
9606.ENSP00000204566	63330.C_HENDH	19.6
9606.ENSP00000204566	9606.ENSP00000261667	20.4
9606.ENSP00000204566	9606.ENSP00000334373	21.9
9606.ENSP00000204566	9606.ENSP00000354394	22.3
9606.ENSP00000221996	9606.ENSP00000300161	22.7
9606.ENSP00000221996	9606.ENSP00000301071	20.4
9606.ENSP00000221996	9606.ENSP00000301072	20.8
9606.ENSP00000221996	9606.ENSP00000306330	21.2
9606.ENSP00000222224	63330.C_HENDH	20.0
9606.ENSP00000222224	9606.ENSP00000231751	20.0
9606.ENSP00000222224	9606.ENSP00000261267	19.2
9606.ENSP00000222224	9606.ENSP00000366565	20.4
9606.ENSP00000233331	9606.ENSP00000251968	25.4
9606.ENSP00000233331	9606.ENSP00000263642	19.6
9606.ENSP00000233331	9606.ENSP00000324810	20.4
9606.ENSP00000235310	63330.GLYCP_HENDH	18.5
9606.ENSP00000235310	9606.ENSP00000257497	21.2
9606.ENSP00000235310	9606.ENSP00000261267	22.3
9606.ENSP00000235310	9606.ENSP00000315768	19.6
9606.ENSP00000238156	9606.ENSP00000231751	21.9
9606.ENSP00000238156	9606.ENSP00000251968	19.2
9606.ENSP00000238156	9606.ENSP00000261667	24.3
9606.ENSP00000238156	9606.ENSP00000431254	22.3
9606.ENSP00000240343	9606.ENSP00000299198	18.1
9606.ENSP00000240343	9606.ENSP00000314363	17.3
9606.ENSP00000242248	9606.ENSP00000225275	20.0
9606.ENSP00000242248	9606.ENSP00000299198	24.3
9606.ENSP00000242248	9606.ENSP00000324810	20.0
