qseqid	sseqid	ppos
11234.HEMA_MEASC	10359.UL27_HCMVM	64.52
11234.HEMA_MEASC	9606.ENSP00000227752	61.11
11234.HEMA_MEASC	9606.ENSP00000369538	83.33
11234.HEMA_MEASC	9606.ENSP00000371003	42.37
11234.HEMA_MEASC	9606.ENSP00000429084	78.57
11234.NCAP_MEASC	9606.ENSP00000263121	55.1
11234.NCAP_MEASC	9606.ENSP00000361927	55.0
11234.NCAP_MEASC	9606.ENSP00000372023	62.5
11234.PHOSP_MEASC	10359.PP65_HCMVM	60.0
11234.PHOSP_MEASC	10359.UL27_HCMVM	42.53
11234.PHOSP_MEASC	9606.ENSP00000324173	55.56
11234.PHOSP_MEASC	9606.ENSP00000347733	56.0
11234.V_MEASC	10359.PP65_HCMVM	60.0
11234.V_MEASC	9606.ENSP00000348349	45.16
11234.V_MEASC	9606.ENSP00000374212	38.0
11234.V_MEASC	9606.ENSP00000429084	60.0
9606.ENSP00000000412	10359.UL21A_HCMVM	64.29
9606.ENSP00000000412	9606.ENSP00000261769	52.5
9606.ENSP00000000412	9606.ENSP00000290349	56.67
9606.ENSP00000000412	9606.ENSP00000297268	52.78
9606.ENSP00000000412	9606.ENSP00000357879	55.56
9606.ENSP00000006777	9606.ENSP00000259512	50.0
9606.ENSP00000006777	9606.ENSP00000268058	62.5
9606.ENSP00000006777	9606.ENSP00000297268	37.31
9606.ENSP00000006777	9606.ENSP00000301764	47.5
9606.ENSP00000006777	9606.ENSP00000313007	50.0
9606.ENSP00000006777	9606.ENSP00000343535	39.13
9606.ENSP00000006777	9606.ENSP00000357113	50.0
9606.ENSP00000011619	9606.ENSP00000371003	50.0
9606.ENSP00000011619	9606.ENSP00000393183	39.06
9606.ENSP00000011619	9606.ENSP00000429084	36.36
9606.ENSP00000054666	9606.ENSP00000266000	52.46
9606.ENSP00000054666	9606.ENSP00000268058	44.12
9606.ENSP00000054666	9606.ENSP00000311997	42.62
9606.ENSP00000054666	9606.ENSP00000371003	53.06
9606.ENSP00000156825	9606.ENSP00000157812	49.18
9606.ENSP00000156825	9606.ENSP00000290349	55.26
9606.ENSP00000156825	9606.ENSP00000345216	58.33
9606.ENSP00000156825	9606.ENSP00000368030	87.5
9606.ENSP00000156825	9606.ENSP00000401802	55.56
9606.ENSP00000156825	9606.ENSP00000408108	42.86
9606.ENSP00000202773	9606.ENSP00000157812	58.82
9606.ENSP00000202773	9606.ENSP00000343535	48.15
9606.ENSP00000202773	9606.ENSP00000358696	62.5
9606.ENSP00000202773	9606.ENSP00000378350	52.0
9606.ENSP00000203407	9606.ENSP00000261769	45.45
9606.ENSP00000203407	9606.ENSP00000263121	47.69
9606.ENSP00000203407	9606.ENSP00000301764	66.67
9606.ENSP00000203407	9606.ENSP00000310129	58.06
9606.ENSP00000203407	9606.ENSP00000345731	53.85
9606.ENSP00000203407	9606.ENSP00000363998	58.82
9606.ENSP00000203407	9606.ENSP00000393183	37.5
9606.ENSP00000203407	9606.ENSP00000397552	36.54
9606.ENSP00000203407	9606.ENSP00000429084	56.0
9606.ENSP00000203630	9606.ENSP00000268058	44.19
9606.ENSP00000203630	9606.ENSP00000374212	45.1
9606.ENSP00000206542	10359.ICP27_HCMVM	47.62
9606.ENSP00000206542	9606.ENSP00000276297	48.28
9606.ENSP00000206542	9606.ENSP00000317232	43.18
9606.ENSP00000206542	9606.ENSP00000324173	37.23
9606.ENSP00000206542	9606.ENSP00000339001	83.33
9606.ENSP00000206542	9606.ENSP00000348349	52.94
9606.ENSP00000206542	9606.ENSP00000394394	42.76
9606.ENSP00000215375	9606.ENSP00000317232	58.82
9606.ENSP00000215375	9606.ENSP00000343701	50.0
9606.ENSP00000215375	9606.ENSP00000374212	68.75
9606.ENSP00000215375	9606.ENSP00000393183	39.58
9606.ENSP00000215375	9606.ENSP00000434614	51.35
9606.ENSP00000215567	9606.ENSP00000301764	70.0
9606.ENSP00000215567	9606.ENSP00000345216	69.23
9606.ENSP00000215567	9606.ENSP00000371341	40.26
9606.ENSP00000215570	9606.ENSP00000253792	66.67
9606.ENSP00000215570	9606.ENSP00000371003	48.15
9606.ENSP00000215570	9606.ENSP00000397552	44.0
9606.ENSP00000215739	9606.ENSP00000324173	45.9
9606.ENSP00000215739	9606.ENSP00000346045	71.43
9606.ENSP00000215739	9606.ENSP00000346046	71.43
9606.ENSP00000215739	9606.ENSP00000358696	48.44
9606.ENSP00000215739	9606.ENSP00000408108	37.84
9606.ENSP00000215882	9606.ENSP00000324173	47.44
9606.ENSP00000215882	9606.ENSP00000408108	36.14
9606.ENSP00000216034	10359.IL10H_HCMVM	53.57
9606.ENSP00000216034	10359.PP65_HCMVM	76.92
9606.ENSP00000216034	10359.UL97_HCMVM	47.83
9606.ENSP00000216034	9606.ENSP00000228284	51.85
9606.ENSP00000216034	9606.ENSP00000310129	48.94
9606.ENSP00000216034	9606.ENSP00000318297	63.64
9606.ENSP00000216034	9606.ENSP00000348349	69.57
9606.ENSP00000216034	9606.ENSP00000365025	71.43
9606.ENSP00000216034	9606.ENSP00000374212	48.48
9606.ENSP00000216034	9606.ENSP00000393183	81.82
9606.ENSP00000216034	9606.ENSP00000404833	60.0
9606.ENSP00000216121	9606.ENSP00000276297	75.0
9606.ENSP00000216121	9606.ENSP00000290349	48.39
9606.ENSP00000216121	9606.ENSP00000347733	42.25
9606.ENSP00000216121	9606.ENSP00000348349	60.0
9606.ENSP00000216121	9606.ENSP00000362824	53.33
9606.ENSP00000216121	9606.ENSP00000393183	48.65
9606.ENSP00000216218	9606.ENSP00000228284	45.24
9606.ENSP00000216218	9606.ENSP00000240343	60.0
9606.ENSP00000216218	9606.ENSP00000242577	60.0
9606.ENSP00000216218	9606.ENSP00000266000	51.11
9606.ENSP00000216218	9606.ENSP00000324173	57.14
9606.ENSP00000216218	9606.ENSP00000343535	45.45
9606.ENSP00000216218	9606.ENSP00000345731	57.14
9606.ENSP00000216218	9606.ENSP00000347733	45.71
9606.ENSP00000216218	9606.ENSP00000362824	49.09
9606.ENSP00000216218	9606.ENSP00000378350	44.52
9606.ENSP00000216218	9606.ENSP00000394394	55.56
9606.ENSP00000216218	9606.ENSP00000434614	53.49
9606.ENSP00000216500	9606.ENSP00000264657	65.38
9606.ENSP00000216500	9606.ENSP00000290349	52.41
9606.ENSP00000216500	9606.ENSP00000362824	78.57
9606.ENSP00000217455	10359.VIE2_HCMVM	53.85
9606.ENSP00000217455	9606.ENSP00000266000	53.66
