qseqid	sseqid	bitscore
37296.GB_HHV8P	9606.ENSP00000264639	22.7
37296.GB_HHV8P	9606.ENSP00000348349	23.1
37296.GB_HHV8P	9606.ENSP00000374212	26.2
37296.GB_HHV8P	9606.ENSP00000404833	22.7
37296.ICP27_HHV8P	9606.ENSP00000261769	23.5
37296.ICP27_HHV8P	9606.ENSP00000305480	22.3
37296.ICP27_HHV8P	9606.ENSP00000311997	22.3
37296.ICP27_HHV8P	9606.ENSP00000343701	22.7
37296.ICP27_HHV8P	9606.ENSP00000347733	21.9
37296.ICP27_HHV8P	9606.ENSP00000393183	23.1
37296.ICP27_HHV8P	9606.ENSP00000434614	22.7
37296.KBZIP_HHV8P	9606.ENSP00000253792	22.7
37296.KBZIP_HHV8P	9606.ENSP00000358696	22.7
37296.KBZIP_HHV8P	9606.ENSP00000429084	22.3
37296.LTP_HHV8P	10359.ICP27_HCMVM	25.4
37296.LTP_HHV8P	9606.ENSP00000358696	24.3
37296.LTP_HHV8P	9606.ENSP00000371341	24.3
37296.MIR1_HHV8P	9606.ENSP00000276297	23.9
37296.MIR2_HHV8P	9606.ENSP00000261769	21.2
37296.MIR2_HHV8P	9606.ENSP00000297268	20.8
37296.MIR2_HHV8P	9606.ENSP00000303992	23.5
37296.MIR2_HHV8P	9606.ENSP00000310129	21.2
37296.MIR2_HHV8P	9606.ENSP00000337853	21.9
37296.MIR2_HHV8P	9606.ENSP00000345216	21.9
37296.MIR2_HHV8P	9606.ENSP00000374212	22.3
37296.MIR2_HHV8P	9606.ENSP00000429084	20.8
37296.ORF45_HHV8P	9606.ENSP00000276297	21.6
37296.ORF45_HHV8P	9606.ENSP00000347733	23.5
37296.ORF45_HHV8P	9606.ENSP00000401802	21.9
37296.ORF50_HHV8P	9606.ENSP00000276297	22.3
37296.ORF50_HHV8P	9606.ENSP00000347733	27.3
37296.ORF50_HHV8P	9606.ENSP00000351273	25.4
37296.ORF50_HHV8P	9606.ENSP00000357113	22.3
37296.ORF73_HHV8P	10359.UL21A_HCMVM	23.1
37296.ORF73_HHV8P	9606.ENSP00000217244	24.3
37296.ORF73_HHV8P	9606.ENSP00000264657	27.7
37296.ORF73_HHV8P	9606.ENSP00000268058	24.6
37296.ORF73_HHV8P	9606.ENSP00000337853	23.5
37296.ORF73_HHV8P	9606.ENSP00000345216	26.9
37296.ORF73_HHV8P	9606.ENSP00000368030	26.2
37296.ORF73_HHV8P	9606.ENSP00000374212	23.1
37296.ORF73_HHV8P	9606.ENSP00000393183	25.4
37296.VCYCL_HHV8P	9606.ENSP00000253792	22.7
37296.VCYCL_HHV8P	9606.ENSP00000301071	21.6
37296.VCYCL_HHV8P	9606.ENSP00000301072	21.6
37296.VCYCL_HHV8P	9606.ENSP00000310129	23.5
37296.VCYCL_HHV8P	9606.ENSP00000343535	20.4
37296.VIL6_HHV8P	9606.ENSP00000264710	20.4
37296.VIL6_HHV8P	9606.ENSP00000339001	20.0
37296.VIL6_HHV8P	9606.ENSP00000343701	22.7
37296.VIL6_HHV8P	9606.ENSP00000394394	20.0
37296.VIRF1_HHV8P	9606.ENSP00000264639	21.6
37296.VIRF1_HHV8P	9606.ENSP00000348349	21.9
37296.VIRF1_HHV8P	9606.ENSP00000401802	25.4
37296.VIRF1_HHV8P	9606.ENSP00000434614	22.7
37296.VIRF2_HHV8P	9606.ENSP00000263121	21.9
37296.VIRF2_HHV8P	9606.ENSP00000268058	25.0
37296.VIRF2_HHV8P	9606.ENSP00000364578	22.3
37296.VIRF2_HHV8P	9606.ENSP00000368459	21.9
37296.VIRF3_HHV8P	9606.ENSP00000227752	22.7
37296.VIRF3_HHV8P	9606.ENSP00000259512	28.1
37296.VIRF3_HHV8P	9606.ENSP00000357879	24.3
37296.VIRF3_HHV8P	9606.ENSP00000358696	25.0
37296.VIRF3_HHV8P	9606.ENSP00000374212	24.3
37296.VIRF4_HHV8P	10359.UL97_HCMVM	24.6
37296.VIRF4_HHV8P	10359.VIE2_HCMVM	22.7
37296.VIRF4_HHV8P	9606.ENSP00000345216	27.3
37296.VIRF4_HHV8P	9606.ENSP00000374212	23.9
9606.ENSP00000012443	10359.UL35_HCMVM	23.1
9606.ENSP00000012443	9606.ENSP00000267163	24.6
9606.ENSP00000012443	9606.ENSP00000290349	22.3
9606.ENSP00000012443	9606.ENSP00000343535	21.6
9606.ENSP00000012443	9606.ENSP00000347733	21.6
9606.ENSP00000012443	9606.ENSP00000348349	22.7
9606.ENSP00000012443	9606.ENSP00000362824	40.8
9606.ENSP00000012443	9606.ENSP00000378350	22.3
9606.ENSP00000012443	9606.ENSP00000394394	23.9
9606.ENSP00000012443	9606.ENSP00000401802	23.1
9606.ENSP00000012443	9606.ENSP00000434614	32.7
9606.ENSP00000071281	10359.VIE2_HCMVM	21.2
9606.ENSP00000071281	9606.ENSP00000374212	21.2
9606.ENSP00000071281	9606.ENSP00000429084	22.7
9606.ENSP00000201031	9606.ENSP00000253792	21.6
9606.ENSP00000201031	9606.ENSP00000324173	21.6
9606.ENSP00000201031	9606.ENSP00000337853	23.1
9606.ENSP00000201031	9606.ENSP00000371341	23.9
9606.ENSP00000216225	10359.VIE1_HCMVM	21.9
9606.ENSP00000216225	9606.ENSP00000261667	20.0
9606.ENSP00000216225	9606.ENSP00000268058	19.6
9606.ENSP00000216225	9606.ENSP00000273308	18.5
9606.ENSP00000216225	9606.ENSP00000343023	19.6
9606.ENSP00000216225	9606.ENSP00000343701	22.3
9606.ENSP00000216225	9606.ENSP00000378350	19.2
9606.ENSP00000216714	10359.VIE1_HCMVM	21.9
9606.ENSP00000216714	9606.ENSP00000253792	21.2
9606.ENSP00000216714	9606.ENSP00000301764	20.8
9606.ENSP00000216714	9606.ENSP00000346453	21.2
9606.ENSP00000223190	9606.ENSP00000273308	22.7
9606.ENSP00000223190	9606.ENSP00000343701	23.9
9606.ENSP00000223190	9606.ENSP00000368030	30.0
9606.ENSP00000223190	9606.ENSP00000374212	26.9
9606.ENSP00000223190	9606.ENSP00000429084	22.3
9606.ENSP00000228318	9606.ENSP00000263121	23.5
9606.ENSP00000228318	9606.ENSP00000303992	23.5
9606.ENSP00000228318	9606.ENSP00000347733	21.9
9606.ENSP00000228318	9606.ENSP00000371003	22.3
9606.ENSP00000228318	9606.ENSP00000374212	23.1
9606.ENSP00000228318	9606.ENSP00000397552	23.9
9606.ENSP00000233057	9606.ENSP00000217244	50.4
9606.ENSP00000233057	9606.ENSP00000297268	21.9
9606.ENSP00000233057	9606.ENSP00000310129	21.6
9606.ENSP00000233057	9606.ENSP00000339001	21.9
9606.ENSP00000233057	9606.ENSP00000348349	25.0
9606.ENSP00000233057	9606.ENSP00000369538	23.5
9606.ENSP00000233057	9606.ENSP00000371341	66.2
9606.ENSP00000233057	9606.ENSP00000372023	71.6
9606.ENSP00000233057	9606.ENSP00000394394	22.7
9606.ENSP00000245414	10359.US02_HCMVM	21.2
9606.ENSP00000245414	9606.ENSP00000345216	23.5
9606.ENSP00000245414	9606.ENSP00000378350	21.2
9606.ENSP00000250263	10359.ICP27_HCMVM	23.5
9606.ENSP00000250263	10359.UL97_HCMVM	21.2
9606.ENSP00000250263	9606.ENSP00000276297	21.2
9606.ENSP00000250263	9606.ENSP00000343535	21.2
9606.ENSP00000250263	9606.ENSP00000348349	22.3
9606.ENSP00000250263	9606.ENSP00000357113	22.3
9606.ENSP00000253024	10359.UL144_HCMVM	25.4
9606.ENSP00000253024	9606.ENSP00000231524	42.7
9606.ENSP00000253024	9606.ENSP00000268058	65.5
9606.ENSP00000253024	9606.ENSP00000337853	25.0
9606.ENSP00000253024	9606.ENSP00000343023	65.1
9606.ENSP00000253024	9606.ENSP00000371003	28.5
9606.ENSP00000253024	9606.ENSP00000371341	25.8
9606.ENSP00000253024	9606.ENSP00000374212	23.1
9606.ENSP00000253571	10359.PP65_HCMVM	26.9
9606.ENSP00000253571	10359.VIE2_HCMVM	23.5
9606.ENSP00000253571	9606.ENSP00000264657	22.7
9606.ENSP00000253571	9606.ENSP00000301071	24.3
9606.ENSP00000253571	9606.ENSP00000301072	24.6
9606.ENSP00000253571	9606.ENSP00000337853	24.6
9606.ENSP00000253571	9606.ENSP00000347733	23.9
9606.ENSP00000253571	9606.ENSP00000357113	22.7
9606.ENSP00000253571	9606.ENSP00000429084	23.9
9606.ENSP00000254719	10359.UL144_HCMVM	22.3
9606.ENSP00000254719	9606.ENSP00000228284	22.3
9606.ENSP00000254719	9606.ENSP00000253792	23.5
9606.ENSP00000254719	9606.ENSP00000347733	22.7
9606.ENSP00000254719	9606.ENSP00000348349	21.9
9606.ENSP00000254901	10359.UL27_HCMVM	21.6
9606.ENSP00000254901	9606.ENSP00000253792	20.4
9606.ENSP00000254901	9606.ENSP00000276297	21.9
9606.ENSP00000254901	9606.ENSP00000347733	21.9
9606.ENSP00000254901	9606.ENSP00000371341	21.6
9606.ENSP00000256474	9606.ENSP00000228284	25.4
9606.ENSP00000256474	9606.ENSP00000261769	23.1
9606.ENSP00000256474	9606.ENSP00000276297	20.4
9606.ENSP00000256474	9606.ENSP00000345216	20.8
9606.ENSP00000256474	9606.ENSP00000347733	22.7
9606.ENSP00000256474	9606.ENSP00000361202	21.2
9606.ENSP00000257904	10359.UL97_HCMVM	21.9
9606.ENSP00000257904	9606.ENSP00000217244	97.1
9606.ENSP00000257904	9606.ENSP00000297268	22.3
9606.ENSP00000257904	9606.ENSP00000345216	20.8
9606.ENSP00000257904	9606.ENSP00000371341	53.1
9606.ENSP00000257904	9606.ENSP00000372023	77.8
9606.ENSP00000257904	9606.ENSP00000429084	21.2
9606.ENSP00000261692	9606.ENSP00000253792	25.8
9606.ENSP00000261692	9606.ENSP00000303992	19.2
9606.ENSP00000261692	9606.ENSP00000324173	20.0
9606.ENSP00000261692	9606.ENSP00000343701	20.8
9606.ENSP00000261692	9606.ENSP00000345731	21.6
9606.ENSP00000262017	9606.ENSP00000324173	28.5
9606.ENSP00000262017	9606.ENSP00000343023	26.6
9606.ENSP00000262017	9606.ENSP00000351273	22.3
9606.ENSP00000262017	9606.ENSP00000362824	23.9
9606.ENSP00000262017	9606.ENSP00000374212	23.1
9606.ENSP00000262306	10359.PP71_HCMVM	21.6
9606.ENSP00000262306	9606.ENSP00000343023	19.6
9606.ENSP00000262306	9606.ENSP00000344818	30.4
9606.ENSP00000262306	9606.ENSP00000345216	20.4
9606.ENSP00000262306	9606.ENSP00000347733	21.2
9606.ENSP00000262367	9606.ENSP00000217244	28.5
9606.ENSP00000262367	9606.ENSP00000253792	24.3
9606.ENSP00000262367	9606.ENSP00000286091	28.1
9606.ENSP00000262367	9606.ENSP00000343023	26.9
9606.ENSP00000262367	9606.ENSP00000347733	25.0
9606.ENSP00000262367	9606.ENSP00000371003	28.5
9606.ENSP00000262367	9606.ENSP00000374212	24.6
9606.ENSP00000262367	9606.ENSP00000393183	27.7
9606.ENSP00000262367	9606.ENSP00000401802	24.3
9606.ENSP00000262367	9606.ENSP00000473172	27.7
9606.ENSP00000262953	10359.VIE2_HCMVM	22.3
9606.ENSP00000262953	9606.ENSP00000216455	23.5
9606.ENSP00000262953	9606.ENSP00000231524	23.5
9606.ENSP00000262953	9606.ENSP00000268058	23.5
9606.ENSP00000262953	9606.ENSP00000276297	23.9
9606.ENSP00000262953	9606.ENSP00000303992	24.6
9606.ENSP00000262953	9606.ENSP00000408108	34.7
9606.ENSP00000263253	9606.ENSP00000216832	26.2
9606.ENSP00000263253	9606.ENSP00000217244	25.8
9606.ENSP00000263253	9606.ENSP00000276297	24.6
9606.ENSP00000263253	9606.ENSP00000290349	26.2
9606.ENSP00000263253	9606.ENSP00000311997	25.4
9606.ENSP00000263253	9606.ENSP00000343023	26.6
9606.ENSP00000263253	9606.ENSP00000371003	29.6
9606.ENSP00000263253	9606.ENSP00000401802	23.9
9606.ENSP00000263253	9606.ENSP00000434614	25.4
9606.ENSP00000264350	10359.UL97_HCMVM	23.5
9606.ENSP00000264350	9606.ENSP00000345731	23.1
9606.ENSP00000264350	9606.ENSP00000346453	27.3
9606.ENSP00000264350	9606.ENSP00000363998	151.0
9606.ENSP00000264350	9606.ENSP00000393183	25.0
9606.ENSP00000264350	9606.ENSP00000429084	48.9
9606.ENSP00000264720	10359.UL97_HCMVM	25.8
9606.ENSP00000264720	9606.ENSP00000227752	22.7
9606.ENSP00000264720	9606.ENSP00000364578	22.3
9606.ENSP00000265372	10359.ICP27_HCMVM	22.3
9606.ENSP00000265372	10359.UNG_HCMVM	21.2
9606.ENSP00000265372	9606.ENSP00000297268	21.9
9606.ENSP00000265372	9606.ENSP00000300291	21.9
9606.ENSP00000265372	9606.ENSP00000343701	21.9
9606.ENSP00000265372	9606.ENSP00000344818	23.5
9606.ENSP00000265372	9606.ENSP00000374212	26.6
9606.ENSP00000265421	10359.PP65_HCMVM	21.2
9606.ENSP00000265421	10359.UL97_HCMVM	22.7
9606.ENSP00000265421	9606.ENSP00000228284	21.9
9606.ENSP00000265421	9606.ENSP00000293362	21.2
