qseqid	sseqid	ppos
10633.LT_SV40	9606.ENSP00000157812	43.28
10633.LT_SV40	9606.ENSP00000228284	42.5
10633.LT_SV40	9606.ENSP00000276297	75.0
10633.LT_SV40	9606.ENSP00000318297	53.57
10633.LT_SV40	9606.ENSP00000394394	69.23
10633.LT_SV40	9606.ENSP00000401802	62.5
10633.LT_SV40	9606.ENSP00000404833	51.28
10633.ST_SV40	9606.ENSP00000228284	42.5
10633.ST_SV40	9606.ENSP00000276297	91.67
10633.ST_SV40	9606.ENSP00000343701	50.0
10633.ST_SV40	9606.ENSP00000374212	71.43
10633.VP1_SV40	9606.ENSP00000267163	48.84
10633.VP1_SV40	9606.ENSP00000301071	44.12
10633.VP1_SV40	9606.ENSP00000301072	44.12
10633.VP1_SV40	9606.ENSP00000363998	44.23
10633.VP1_SV40	9606.ENSP00000371341	34.58
10633.VP1_SV40	9606.ENSP00000408108	40.91
9606.ENSP00000217244	10359.UL97_HCMVM	47.27
9606.ENSP00000217244	9606.ENSP00000217244	100.0
9606.ENSP00000217244	9606.ENSP00000297268	35.42
9606.ENSP00000217244	9606.ENSP00000347733	58.33
9606.ENSP00000217244	9606.ENSP00000357879	75.0
9606.ENSP00000217244	9606.ENSP00000372023	42.02
9606.ENSP00000217244	9606.ENSP00000374212	52.0
9606.ENSP00000217244	9606.ENSP00000393183	60.0
9606.ENSP00000217244	9606.ENSP00000434614	44.64
9606.ENSP00000221996	9606.ENSP00000324173	42.06
9606.ENSP00000221996	9606.ENSP00000343023	57.69
9606.ENSP00000221996	9606.ENSP00000358696	70.59
9606.ENSP00000221996	9606.ENSP00000429084	50.0
9606.ENSP00000230354	9606.ENSP00000267163	51.22
9606.ENSP00000230354	9606.ENSP00000348349	67.5
9606.ENSP00000230354	9606.ENSP00000368030	58.62
9606.ENSP00000230354	9606.ENSP00000372023	78.57
9606.ENSP00000263253	9606.ENSP00000216832	56.1
9606.ENSP00000263253	9606.ENSP00000217244	45.16
9606.ENSP00000263253	9606.ENSP00000276297	55.56
9606.ENSP00000263253	9606.ENSP00000290349	53.85
9606.ENSP00000263253	9606.ENSP00000311997	47.3
9606.ENSP00000263253	9606.ENSP00000343023	50.0
9606.ENSP00000263253	9606.ENSP00000371003	60.0
