qseqid	sseqid	pident
35305.NSS_BUNL8	35305.NSS_BUNL8	100.0
35305.NSS_BUNL8	9606.ENSP00000304592	32.353
35305.NSS_BUNL8	9606.ENSP00000358695	35.0
9606.ENSP00000216181	9606.ENSP00000216181	100.0
9606.ENSP00000216181	9606.ENSP00000307078	22.901
9606.ENSP00000216181	9606.ENSP00000310670	37.5
9606.ENSP00000216181	9606.ENSP00000314030	24.706
9606.ENSP00000216181	9606.ENSP00000316357	31.579
9606.ENSP00000216181	9606.ENSP00000317985	25.590999999999998
9606.ENSP00000216181	9606.ENSP00000321845	40.0
9606.ENSP00000216181	9606.ENSP00000328410	24.138
9606.ENSP00000216181	9606.ENSP00000340019	31.373
9606.ENSP00000216181	9606.ENSP00000342109	31.706999999999997
9606.ENSP00000216181	9606.ENSP00000349168	45.833
9606.ENSP00000216181	9606.ENSP00000361927	50.0
9606.ENSP00000217182	9606.ENSP00000217182	100.0
9606.ENSP00000217182	9606.ENSP00000262375	27.5
9606.ENSP00000217182	9606.ENSP00000314949	27.586
9606.ENSP00000217182	9606.ENSP00000317985	46.667
9606.ENSP00000217182	9606.ENSP00000330054	92.625
9606.ENSP00000217182	9606.ENSP00000342109	26.0
9606.ENSP00000217182	9606.ENSP00000356348	25.0
9606.ENSP00000217426	9606.ENSP00000217426	100.0
9606.ENSP00000217426	9606.ENSP00000262375	40.0
9606.ENSP00000217426	9606.ENSP00000304592	22.0
9606.ENSP00000217426	9606.ENSP00000314949	34.615
9606.ENSP00000217426	9606.ENSP00000473172	44.443999999999996
9606.ENSP00000225792	9606.ENSP00000225792	100.0
9606.ENSP00000225792	9606.ENSP00000253792	20.904
9606.ENSP00000225792	9606.ENSP00000314949	31.706999999999997
9606.ENSP00000225792	9606.ENSP00000321845	24.0
9606.ENSP00000225792	9606.ENSP00000336725	42.105
9606.ENSP00000225792	9606.ENSP00000379475	30.029
9606.ENSP00000225792	9606.ENSP00000380033	72.777
9606.ENSP00000225792	9606.ENSP00000382840	43.276
9606.ENSP00000225792	9606.ENSP00000424838	37.719
9606.ENSP00000240851	9606.ENSP00000240851	100.0
9606.ENSP00000240851	9606.ENSP00000253024	33.333
9606.ENSP00000240851	9606.ENSP00000280326	25.0
9606.ENSP00000240851	9606.ENSP00000304592	24.761999999999997
