qseqid	sseqid	pident
186538.VP24_EBOZM	9606.ENSP00000296930	26.389
186538.VP24_EBOZM	9606.ENSP00000304350	50.0
186538.VP24_EBOZM	9606.ENSP00000332455	39.394
186538.VP24_EBOZM	9606.ENSP00000340466	32.353
186538.VP24_EBOZM	9606.ENSP00000349696	39.394
186538.VP24_EBOZM	9606.ENSP00000351552	33.333
186538.VP24_EBOZM	9606.ENSP00000384144	26.087
186538.VP35_EBOZM	9606.ENSP00000251527	56.25
186538.VP35_EBOZM	9606.ENSP00000287647	25.581
186538.VP35_EBOZM	9606.ENSP00000301764	44.443999999999996
186538.VP35_EBOZM	9606.ENSP00000317780	44.0
186538.VP35_EBOZM	9606.ENSP00000343535	24.741999999999997
186538.VP35_EBOZM	9606.ENSP00000348510	25.714000000000002
9606.ENSP00000217182	9606.ENSP00000262375	27.5
9606.ENSP00000217182	9606.ENSP00000307940	32.330999999999996
9606.ENSP00000217182	9606.ENSP00000322439	31.695999999999998
9606.ENSP00000217182	9606.ENSP00000330054	92.625
9606.ENSP00000217182	9606.ENSP00000346954	40.741
9606.ENSP00000217182	9606.ENSP00000354125	30.435
9606.ENSP00000217182	9606.ENSP00000376472	29.73
9606.ENSP00000217182	9606.ENSP00000418401	20.755
9606.ENSP00000221419	9606.ENSP00000233468	27.941
9606.ENSP00000221419	9606.ENSP00000253024	25.0
9606.ENSP00000221419	9606.ENSP00000313007	26.596
9606.ENSP00000221419	9606.ENSP00000325376	26.761
9606.ENSP00000221419	9606.ENSP00000357048	23.076999999999998
9606.ENSP00000221419	9606.ENSP00000375977	24.444000000000003
9606.ENSP00000221419	9606.ENSP00000391774	26.666999999999998
9606.ENSP00000221419	9606.ENSP00000417963	40.741
9606.ENSP00000228318	9606.ENSP00000215882	26.064
9606.ENSP00000228318	9606.ENSP00000225665	24.241999999999997
9606.ENSP00000228318	9606.ENSP00000228318	100.0
9606.ENSP00000228318	9606.ENSP00000261942	32.0
9606.ENSP00000228318	9606.ENSP00000266732	29.031999999999996
9606.ENSP00000228318	9606.ENSP00000281456	22.666999999999998
9606.ENSP00000228318	9606.ENSP00000306328	27.684
9606.ENSP00000228318	9606.ENSP00000319574	26.531
9606.ENSP00000228318	9606.ENSP00000322020	22.33
9606.ENSP00000228318	9606.ENSP00000329033	26.19
9606.ENSP00000228318	9606.ENSP00000329452	26.984
9606.ENSP00000228318	9606.ENSP00000345580	22.866999999999997
9606.ENSP00000228318	9606.ENSP00000359424	32.0
9606.ENSP00000228318	9606.ENSP00000360671	20.945999999999998
9606.ENSP00000228318	9606.ENSP00000370808	27.5
9606.ENSP00000228318	9606.ENSP00000382274	32.5
9606.ENSP00000228318	9606.ENSP00000388658	25.0
9606.ENSP00000228318	9606.ENSP00000400101	27.011
9606.ENSP00000240327	9606.ENSP00000215739	36.567
9606.ENSP00000240327	9606.ENSP00000262982	36.111
9606.ENSP00000240327	9606.ENSP00000281456	31.25
9606.ENSP00000240327	9606.ENSP00000343535	28.986
9606.ENSP00000240327	9606.ENSP00000355541	52.941
9606.ENSP00000240327	9606.ENSP00000384863	32.692
9606.ENSP00000240343	9606.ENSP00000216218	36.0
9606.ENSP00000240343	9606.ENSP00000259335	28.125
9606.ENSP00000240343	9606.ENSP00000263956	30.233
9606.ENSP00000240343	9606.ENSP00000285968	40.909
9606.ENSP00000240343	9606.ENSP00000305653	30.769000000000002
9606.ENSP00000240343	9606.ENSP00000340742	33.333
9606.ENSP00000240343	9606.ENSP00000362688	34.211
9606.ENSP00000240343	9606.ENSP00000375977	28.570999999999998
9606.ENSP00000240343	9606.ENSP00000377148	41.935
9606.ENSP00000240343	9606.ENSP00000378887	40.909
9606.ENSP00000240343	9606.ENSP00000384144	28.570999999999998
9606.ENSP00000242577	9606.ENSP00000285968	40.909
9606.ENSP00000242577	9606.ENSP00000305653	30.769000000000002
9606.ENSP00000242577	9606.ENSP00000318687	33.333
9606.ENSP00000242577	9606.ENSP00000340742	21.622
9606.ENSP00000242577	9606.ENSP00000346001	29.63
9606.ENSP00000242577	9606.ENSP00000362688	34.211
9606.ENSP00000242577	9606.ENSP00000364805	44.443999999999996
9606.ENSP00000242577	9606.ENSP00000375977	28.570999999999998
9606.ENSP00000242577	9606.ENSP00000377148	41.935
9606.ENSP00000254108	9606.ENSP00000218439	18.657
9606.ENSP00000254108	9606.ENSP00000225726	27.273000000000003
9606.ENSP00000254108	9606.ENSP00000295470	21.978
9606.ENSP00000254108	9606.ENSP00000313007	27.559
9606.ENSP00000254108	9606.ENSP00000318195	33.333
9606.ENSP00000254108	9606.ENSP00000325376	29.63
9606.ENSP00000254108	9606.ENSP00000338477	23.684
9606.ENSP00000254108	9606.ENSP00000353089	37.209
9606.ENSP00000254108	9606.ENSP00000382840	37.931
9606.ENSP00000254810	9606.ENSP00000260665	30.769000000000002
9606.ENSP00000254810	9606.ENSP00000304437	42.857
9606.ENSP00000254810	9606.ENSP00000392330	61.538000000000004
9606.ENSP00000257622	9606.ENSP00000285968	21.951
9606.ENSP00000261839	9606.ENSP00000224237	34.286
9606.ENSP00000261839	9606.ENSP00000300648	24.038
9606.ENSP00000261839	9606.ENSP00000341382	23.267
9606.ENSP00000261839	9606.ENSP00000354720	26.316
9606.ENSP00000261839	9606.ENSP00000355541	34.091
9606.ENSP00000261839	9606.ENSP00000357048	23.656
9606.ENSP00000261839	9606.ENSP00000361845	28.570999999999998
9606.ENSP00000261839	9606.ENSP00000370023	26.531
9606.ENSP00000261839	9606.ENSP00000392330	28.358
